symbol,exchange,datetime,open,high,low,close,volume,open_interest
swftcusdt,HUOBI,2020-08-28 00:00:00,0.002237,0.002944,0.002237,0.002472,1259665.92747486,0.0
swftcusdt,HUOBI,2020-08-29 00:00:00,0.002516,0.0027,0.00236,0.00244,1147013.1876056222,0.0
swftcusdt,HUOBI,2020-08-30 00:00:00,0.00244,0.002849,0.0023,0.002426,1533256.260639621,0.0
swftcusdt,HUOBI,2020-08-31 00:00:00,0.002426,0.00275,0.002368,0.002457,1025098.6050485456,0.0
swftcusdt,HUOBI,2020-09-01 00:00:00,0.002463,0.00248,0.00229,0.002362,1072328.0890164068,0.0
swftcusdt,HUOBI,2020-09-02 00:00:00,0.002349,0.002349,0.0018,0.001846,955823.9886746155,0.0
swftcusdt,HUOBI,2020-09-03 00:00:00,0.001848,0.001888,0.001481,0.001511,680005.4274737865,0.0
swftcusdt,HUOBI,2020-09-04 00:00:00,0.001521,0.001522,0.001234,0.001312,516947.63247382425,0.0
swftcusdt,HUOBI,2020-09-05 00:00:00,0.001317,0.00141,0.00115,0.001239,208880.79701495,0.0
swftcusdt,HUOBI,2020-09-06 00:00:00,0.001233,0.001351,0.0011,0.001196,353607.38726762,0.0
swftcusdt,HUOBI,2020-09-07 00:00:00,0.001207,0.001299,0.001169,0.001228,182665.95775983,0.0
swftcusdt,HUOBI,2020-09-08 00:00:00,0.00123,0.001308,0.001208,0.001281,165996.67204042,0.0
swftcusdt,HUOBI,2020-09-09 00:00:00,0.001274,0.001553,0.001243,0.001443,804905.4918563926,0.0
swftcusdt,HUOBI,2020-09-10 00:00:00,0.001443,0.001566,0.001365,0.001444,355981.68636082415,0.0
swftcusdt,HUOBI,2020-09-11 00:00:00,0.001444,0.001517,0.00138,0.001433,265258.9386936578,0.0
swftcusdt,HUOBI,2020-09-12 00:00:00,0.001434,0.001434,0.001358,0.001375,154256.82093667,0.0
swftcusdt,HUOBI,2020-09-13 00:00:00,0.001373,0.001457,0.00135,0.001352,238366.84763912,0.0
swftcusdt,HUOBI,2020-09-14 00:00:00,0.001354,0.001384,0.001327,0.001351,124065.08118009,0.0
swftcusdt,HUOBI,2020-09-15 00:00:00,0.001351,0.00136,0.001234,0.00125,157824.13855172,0.0
swftcusdt,HUOBI,2020-09-16 00:00:00,0.001247,0.001342,0.001183,0.001274,246939.3254120716,0.0
swftcusdt,HUOBI,2020-09-17 00:00:00,0.001274,0.001515,0.001274,0.001295,746695.1630973656,0.0
swftcusdt,HUOBI,2020-09-18 00:00:00,0.001295,0.00149,0.001292,0.001375,380852.8760955707,0.0
swftcusdt,HUOBI,2020-09-19 00:00:00,0.001376,0.001397,0.001214,0.001271,249545.52347411,0.0
swftcusdt,HUOBI,2020-09-20 00:00:00,0.001273,0.001319,0.001242,0.001264,114962.32152942,0.0
swftcusdt,HUOBI,2020-09-21 00:00:00,0.001269,0.001289,0.001158,0.001186,144893.88393925,0.0
swftcusdt,HUOBI,2020-09-22 00:00:00,0.001185,0.00126,0.001151,0.001202,98407.90560838,0.0
swftcusdt,HUOBI,2020-09-23 00:00:00,0.001203,0.001217,0.001147,0.001156,77708.44198077,0.0
swftcusdt,HUOBI,2020-09-24 00:00:00,0.001159,0.001182,0.0011,0.001145,86586.28376982,0.0
swftcusdt,HUOBI,2020-09-25 00:00:00,0.001142,0.001183,0.001133,0.001156,87593.34967215,0.0
swftcusdt,HUOBI,2020-09-26 00:00:00,0.001157,0.0012,0.001142,0.001191,101136.16286575,0.0
swftcusdt,HUOBI,2020-09-27 00:00:00,0.001192,0.00125,0.001152,0.001172,89898.89638897,0.0
swftcusdt,HUOBI,2020-09-28 00:00:00,0.00117,0.001238,0.001158,0.001186,85560.33947917,0.0
swftcusdt,HUOBI,2020-09-29 00:00:00,0.001187,0.0012,0.001147,0.001155,87359.22143469,0.0
swftcusdt,HUOBI,2020-09-30 00:00:00,0.001152,0.001171,0.001141,0.001155,75799.42972523,0.0
swftcusdt,HUOBI,2020-10-01 00:00:00,0.001148,0.001176,0.00114,0.001158,68921.27649475,0.0
swftcusdt,HUOBI,2020-10-02 00:00:00,0.00116,0.001168,0.0011,0.001106,100069.99981804,0.0
swftcusdt,HUOBI,2020-10-03 00:00:00,0.001107,0.001124,0.001101,0.001115,65202.59170038,0.0
swftcusdt,HUOBI,2020-10-04 00:00:00,0.001114,0.001173,0.001083,0.001149,90594.40757179,0.0
swftcusdt,HUOBI,2020-10-05 00:00:00,0.001148,0.001252,0.001117,0.00116,95209.5260522,0.0
swftcusdt,HUOBI,2020-10-06 00:00:00,0.00116,0.001183,0.001103,0.001103,78890.36660227,0.0
swftcusdt,HUOBI,2020-10-07 00:00:00,0.001104,0.00115,0.001059,0.001087,88850.47255809,0.0
swftcusdt,HUOBI,2020-10-08 00:00:00,0.001084,0.001088,0.001048,0.001086,77768.50533765,0.0
swftcusdt,HUOBI,2020-10-09 00:00:00,0.001086,0.0011,0.001062,0.001091,121059.62331752,0.0
swftcusdt,HUOBI,2020-10-10 00:00:00,0.001096,0.001127,0.00105,0.00111,137567.13562951,0.0
swftcusdt,HUOBI,2020-10-11 00:00:00,0.001109,0.001121,0.001076,0.001095,87749.56919672,0.0
swftcusdt,HUOBI,2020-10-12 00:00:00,0.001095,0.001163,0.001087,0.001116,104245.3110322843,0.0
swftcusdt,HUOBI,2020-10-13 00:00:00,0.001116,0.001185,0.00111,0.001176,126941.77802743,0.0
swftcusdt,HUOBI,2020-10-14 00:00:00,0.001172,0.001179,0.001102,0.001104,101401.30497529,0.0
swftcusdt,HUOBI,2020-10-15 00:00:00,0.001105,0.001194,0.001101,0.001148,129586.61815091,0.0
swftcusdt,HUOBI,2020-10-16 00:00:00,0.001147,0.001166,0.001065,0.001086,135501.67063712,0.0
swftcusdt,HUOBI,2020-10-17 00:00:00,0.001085,0.001122,0.001069,0.001075,82618.07623401,0.0
swftcusdt,HUOBI,2020-10-18 00:00:00,0.001075,0.001092,0.001065,0.001089,73024.45071068,0.0
swftcusdt,HUOBI,2020-10-19 00:00:00,0.001089,0.001124,0.001051,0.001098,109472.5303846,0.0
swftcusdt,HUOBI,2020-10-20 00:00:00,0.001095,0.001112,0.001072,0.001079,76651.86008682,0.0
swftcusdt,HUOBI,2020-10-21 00:00:00,0.001084,0.001122,0.001065,0.001104,79478.04737057,0.0
swftcusdt,HUOBI,2020-10-22 00:00:00,0.001111,0.001179,0.001083,0.001127,143226.04634555522,0.0
