symbol,exchange,datetime,open,high,low,close,volume,open_interest
swrvusdt,HUOBI,2020-09-10 00:00:00,5.1499,8.8,4.5004,4.965,5195587.016607196,0.0
swrvusdt,HUOBI,2020-09-11 00:00:00,5.0463,6.2999,4.51,4.7266,2663915.5279275835,0.0
swrvusdt,HUOBI,2020-09-12 00:00:00,4.7041,6.16,4.2518,5.4499,2503379.5555558633,0.0
swrvusdt,HUOBI,2020-09-13 00:00:00,5.4498,7.75,5.365,5.5745,4017615.3497514334,0.0
swrvusdt,HUOBI,2020-09-14 00:00:00,5.5745,5.921,5.0603,5.3508,2040325.811410841,0.0
swrvusdt,HUOBI,2020-09-15 00:00:00,5.3773,7.1101,4.61,5.0,7498478.002209341,0.0
swrvusdt,HUOBI,2020-09-16 00:00:00,5.1424,5.2765,3.87,4.1856,1828725.2442758244,0.0
swrvusdt,HUOBI,2020-09-17 00:00:00,4.1857,4.36,2.5201,2.7003,2731587.5143561773,0.0
swrvusdt,HUOBI,2020-09-18 00:00:00,2.7003,3.2,2.55,3.0949,2512481.568614761,0.0
swrvusdt,HUOBI,2020-09-19 00:00:00,3.0796,5.0,2.6269,2.8226,7980356.072118141,0.0
swrvusdt,HUOBI,2020-09-20 00:00:00,2.7605,3.15,2.018,2.1055,3874105.2187927025,0.0
swrvusdt,HUOBI,2020-09-21 00:00:00,2.1056,2.1056,1.4125,1.4763,3875213.375628966,0.0
swrvusdt,HUOBI,2020-09-22 00:00:00,1.4742,1.65,1.2202,1.3611,2420991.633974059,0.0
swrvusdt,HUOBI,2020-09-23 00:00:00,1.3611,1.5899,1.3001,1.3904,2226705.707869281,0.0
swrvusdt,HUOBI,2020-09-24 00:00:00,1.3907,1.3942,1.1001,1.246,1174228.25225232,0.0
swrvusdt,HUOBI,2020-09-25 00:00:00,1.2392,1.6,1.2319,1.5654,2413101.7511887173,0.0
swrvusdt,HUOBI,2020-09-26 00:00:00,1.5654,1.8211,1.4667,1.5269,1752978.2915327246,0.0
swrvusdt,HUOBI,2020-09-27 00:00:00,1.5268,1.5296,1.25,1.3263,1298433.5358279098,0.0
swrvusdt,HUOBI,2020-09-28 00:00:00,1.314,1.4,1.178,1.2563,939194.9042161893,0.0
swrvusdt,HUOBI,2020-09-29 00:00:00,1.2564,1.3795,1.1881,1.3097,1097841.361617078,0.0
swrvusdt,HUOBI,2020-09-30 00:00:00,1.3098,1.4015,1.2229,1.2708,782084.6877883166,0.0
swrvusdt,HUOBI,2020-10-01 00:00:00,1.2712,1.3403,1.24,1.2813,384699.96724006167,0.0
swrvusdt,HUOBI,2020-10-02 00:00:00,1.2889,1.2916,1.0396,1.1175,819773.4062034028,0.0
swrvusdt,HUOBI,2020-10-03 00:00:00,1.1223,1.13,1.0511,1.1146,323009.57105968,0.0
swrvusdt,HUOBI,2020-10-04 00:00:00,1.1165,1.1799,0.8828,0.9149,1026541.363462974,0.0
swrvusdt,HUOBI,2020-10-05 00:00:00,0.9155,1.16,0.8875,0.9152,1011483.00891503,0.0
swrvusdt,HUOBI,2020-10-06 00:00:00,0.9124,0.9823,0.72,0.7707,658671.7905124478,0.0
swrvusdt,HUOBI,2020-10-07 00:00:00,0.7706,0.7706,0.6009,0.6525,537605.763875861,0.0
swrvusdt,HUOBI,2020-10-08 00:00:00,0.6525,0.78,0.6131,0.6872,657364.8022479928,0.0
swrvusdt,HUOBI,2020-10-09 00:00:00,0.6872,0.8301,0.646,0.818,643030.00165692,0.0
swrvusdt,HUOBI,2020-10-10 00:00:00,0.8164,0.8573,0.741,0.8256,855848.3153133239,0.0
swrvusdt,HUOBI,2020-10-11 00:00:00,0.8253,0.8888,0.755,0.8065,675834.6038752482,0.0
swrvusdt,HUOBI,2020-10-12 00:00:00,0.8055,0.82,0.732,0.7528,381224.0366113268,0.0
swrvusdt,HUOBI,2020-10-13 00:00:00,0.7531,0.871,0.7213,0.7338,480791.72413818934,0.0
swrvusdt,HUOBI,2020-10-14 00:00:00,0.7344,0.7611,0.6834,0.7017,162570.14562002,0.0
swrvusdt,HUOBI,2020-10-15 00:00:00,0.7003,0.7108,0.65,0.6595,195307.89950419083,0.0
swrvusdt,HUOBI,2020-10-16 00:00:00,0.6593,0.7204,0.5921,0.6153,318184.9833217457,0.0
swrvusdt,HUOBI,2020-10-17 00:00:00,0.6192,0.6749,0.59,0.6709,239504.39396013,0.0
swrvusdt,HUOBI,2020-10-18 00:00:00,0.671,0.6749,0.6201,0.6375,234226.2109281855,0.0
swrvusdt,HUOBI,2020-10-19 00:00:00,0.6393,0.645,0.6008,0.6117,139187.35532945,0.0
swrvusdt,HUOBI,2020-10-20 00:00:00,0.6113,0.6945,0.6003,0.626,350655.1263084192,0.0
swrvusdt,HUOBI,2020-10-21 00:00:00,0.6247,0.6515,0.605,0.6187,185543.11341492026,0.0
swrvusdt,HUOBI,2020-10-22 00:00:00,0.6198,0.631,0.5973,0.6077,218990.2123493,0.0
swrvusdt,HUOBI,2020-10-23 00:00:00,0.6068,0.6502,0.6,0.6237,237424.0362900404,0.0
swrvusdt,HUOBI,2020-10-24 00:00:00,0.6225,0.6849,0.6211,0.6399,261361.81742283923,0.0
swrvusdt,HUOBI,2020-10-25 00:00:00,0.6399,0.671,0.6394,0.6487,164780.47314789,0.0
swrvusdt,HUOBI,2020-10-26 00:00:00,0.6479,0.7888,0.58,0.737,777456.7695636684,0.0
swrvusdt,HUOBI,2020-10-27 00:00:00,0.737,0.7439,0.653,0.7043,419929.260302,0.0
swrvusdt,HUOBI,2020-10-28 00:00:00,0.7043,0.7347,0.6113,0.625,394076.2421726645,0.0
swrvusdt,HUOBI,2020-10-29 00:00:00,0.6265,0.6265,0.597,0.6164,184582.56346775222,0.0
swrvusdt,HUOBI,2020-10-30 00:00:00,0.6188,0.6229,0.5177,0.5461,276586.08370557,0.0
swrvusdt,HUOBI,2020-10-31 00:00:00,0.5446,0.5682,0.5205,0.531,168088.28701617,0.0
swrvusdt,HUOBI,2020-11-01 00:00:00,0.5306,0.5388,0.4562,0.4923,292095.58999356,0.0
swrvusdt,HUOBI,2020-11-02 00:00:00,0.4931,0.59,0.43,0.4422,626185.9417872615,0.0
swrvusdt,HUOBI,2020-11-03 00:00:00,0.4396,0.4596,0.4002,0.4259,134085.87377435,0.0
swrvusdt,HUOBI,2020-11-04 00:00:00,0.4238,0.4285,0.3842,0.3973,147798.85802973,0.0
swrvusdt,HUOBI,2020-11-05 00:00:00,0.397,0.4181,0.3791,0.4126,156900.70438903,0.0
swrvusdt,HUOBI,2020-11-06 00:00:00,0.412,0.4523,0.385,0.4235,271683.1419126,0.0
swrvusdt,HUOBI,2020-11-07 00:00:00,0.4256,0.4854,0.4146,0.4261,383888.8025576687,0.0
swrvusdt,HUOBI,2020-11-08 00:00:00,0.4251,0.5888,0.4194,0.4975,995119.497073324,0.0
swrvusdt,HUOBI,2020-11-09 00:00:00,0.4999,0.4999,0.4531,0.461,186162.70567331807,0.0
swrvusdt,HUOBI,2020-11-10 00:00:00,0.4609,0.4908,0.42,0.4908,316317.50273944676,0.0
swrvusdt,HUOBI,2020-11-11 00:00:00,0.4949,0.5554,0.465,0.5006,481325.28362213,0.0
swrvusdt,HUOBI,2020-11-12 00:00:00,0.5005,0.5362,0.4597,0.4703,206941.50103048,0.0
swrvusdt,HUOBI,2020-11-13 00:00:00,0.4703,0.5214,0.46,0.4913,279115.8460509925,0.0
swrvusdt,HUOBI,2020-11-14 00:00:00,0.4924,0.5666,0.469,0.5315,377334.0416873029,0.0
swrvusdt,HUOBI,2020-11-15 00:00:00,0.531,1.27,0.5307,1.243,7398652.73755098,0.0
swrvusdt,HUOBI,2020-11-16 00:00:00,1.243,1.68,0.8723,0.9064,9107121.571309885,0.0
swrvusdt,HUOBI,2020-11-17 00:00:00,0.9069,1.2888,0.9069,1.0601,4519282.865507723,0.0
