symbol,exchange,datetime,open,high,low,close,volume,open_interest
thetausdt,HUOBI,2018-01-31 00:00:00,0.2259,0.2294,0.2009,0.2137,1554365.6871722182,0.0
thetausdt,HUOBI,2018-02-01 00:00:00,0.2143,0.2431,0.1765,0.1805,8763908.726916218,0.0
thetausdt,HUOBI,2018-02-02 00:00:00,0.1801,0.2553,0.135,0.1775,4802831.037334849,0.0
thetausdt,HUOBI,2018-02-03 00:00:00,0.1785,0.1979,0.1593,0.1832,5702438.493936396,0.0
thetausdt,HUOBI,2018-02-04 00:00:00,0.1827,0.1919,0.156,0.1593,6647777.47667794,0.0
thetausdt,HUOBI,2018-02-05 00:00:00,0.1593,0.161,0.122,0.1251,4675989.15765221,0.0
thetausdt,HUOBI,2018-02-06 00:00:00,0.1274,0.1313,0.0955,0.127,3737200.411711973,0.0
thetausdt,HUOBI,2018-02-07 00:00:00,0.1268,0.1473,0.1153,0.1372,5113962.509420204,0.0
thetausdt,HUOBI,2018-02-08 00:00:00,0.1372,0.147,0.12,0.1302,5202907.92340528,0.0
thetausdt,HUOBI,2018-02-09 00:00:00,0.1307,0.14,0.1183,0.1359,4621481.476132837,0.0
thetausdt,HUOBI,2018-02-10 00:00:00,0.1361,0.148,0.1258,0.1265,3627366.352646293,0.0
thetausdt,HUOBI,2018-02-11 00:00:00,0.1263,0.139,0.1068,0.1222,2985542.7285229173,0.0
thetausdt,HUOBI,2018-02-12 00:00:00,0.1222,0.1299,0.1143,0.119,2170761.54121939,0.0
thetausdt,HUOBI,2018-02-13 00:00:00,0.1194,0.1215,0.11,0.1145,2449561.99546363,0.0
thetausdt,HUOBI,2018-02-14 00:00:00,0.1146,0.1312,0.1128,0.1277,2658919.640849553,0.0
thetausdt,HUOBI,2018-02-15 00:00:00,0.1289,0.1373,0.1212,0.1216,2692098.2827848485,0.0
thetausdt,HUOBI,2018-02-16 00:00:00,0.1211,0.1652,0.1211,0.141,6334530.432618094,0.0
thetausdt,HUOBI,2018-02-17 00:00:00,0.1412,0.1789,0.1368,0.1746,4577967.052489712,0.0
thetausdt,HUOBI,2018-02-18 00:00:00,0.1746,0.1949,0.1503,0.1685,6894098.393305831,0.0
thetausdt,HUOBI,2018-02-19 00:00:00,0.1692,0.1951,0.1602,0.1753,4342532.051182323,0.0
thetausdt,HUOBI,2018-02-20 00:00:00,0.1753,0.1757,0.1531,0.1594,3868537.045135305,0.0
thetausdt,HUOBI,2018-02-21 00:00:00,0.1594,0.162,0.1313,0.1332,3455990.8010872174,0.0
thetausdt,HUOBI,2018-02-22 00:00:00,0.1336,0.1441,0.1194,0.1266,2922306.256762869,0.0
thetausdt,HUOBI,2018-02-23 00:00:00,0.1269,0.1361,0.1236,0.1334,2678843.8761876957,0.0
thetausdt,HUOBI,2018-02-24 00:00:00,0.1334,0.137,0.1276,0.1304,2289895.3630367094,0.0
thetausdt,HUOBI,2018-02-25 00:00:00,0.1304,0.131,0.1202,0.1216,2239996.57270572,0.0
thetausdt,HUOBI,2018-02-26 00:00:00,0.1216,0.1257,0.1115,0.125,2460804.13343537,0.0
thetausdt,HUOBI,2018-02-27 00:00:00,0.125,0.1337,0.1202,0.1256,3159071.650658218,0.0
thetausdt,HUOBI,2018-02-28 00:00:00,0.1255,0.1498,0.1231,0.14,4606927.934600686,0.0
thetausdt,HUOBI,2018-03-01 00:00:00,0.1398,0.17,0.1397,0.1677,8670384.625945523,0.0
thetausdt,HUOBI,2018-03-02 00:00:00,0.1676,0.2165,0.1668,0.1764,12719903.622774798,0.0
thetausdt,HUOBI,2018-03-03 00:00:00,0.1761,0.2151,0.17,0.2084,7596702.03835535,0.0
thetausdt,HUOBI,2018-03-04 00:00:00,0.2089,0.2442,0.195,0.2275,13316421.357237203,0.0
thetausdt,HUOBI,2018-03-05 00:00:00,0.2275,0.233,0.2002,0.2065,7565513.463621359,0.0
thetausdt,HUOBI,2018-03-06 00:00:00,0.2067,0.2243,0.183,0.1918,7497070.752874387,0.0
thetausdt,HUOBI,2018-03-07 00:00:00,0.192,0.2079,0.175,0.1811,5811269.191062462,0.0
thetausdt,HUOBI,2018-03-08 00:00:00,0.1811,0.1874,0.1453,0.1494,5672262.475571497,0.0
thetausdt,HUOBI,2018-03-09 00:00:00,0.1496,0.1502,0.1189,0.1412,5450634.225153659,0.0
thetausdt,HUOBI,2018-03-10 00:00:00,0.1416,0.182,0.1383,0.1759,9380797.226486217,0.0
thetausdt,HUOBI,2018-03-11 00:00:00,0.1759,0.1936,0.151,0.1766,14693800.92956643,0.0
thetausdt,HUOBI,2018-03-12 00:00:00,0.1766,0.1888,0.161,0.1692,7423893.219913866,0.0
thetausdt,HUOBI,2018-03-13 00:00:00,0.1692,0.1726,0.1552,0.1616,4263656.819270726,0.0
thetausdt,HUOBI,2018-03-14 00:00:00,0.1616,0.167,0.1484,0.1547,3199560.9307457334,0.0
thetausdt,HUOBI,2018-03-15 00:00:00,0.1556,0.1563,0.1316,0.1427,3721518.2533931225,0.0
thetausdt,HUOBI,2018-03-16 00:00:00,0.1427,0.153,0.1374,0.1525,3021426.716899965,0.0
thetausdt,HUOBI,2018-03-17 00:00:00,0.1526,0.1529,0.1404,0.1409,2383545.670401894,0.0
thetausdt,HUOBI,2018-03-18 00:00:00,0.1409,0.1433,0.12,0.121,2926292.0194634255,0.0
thetausdt,HUOBI,2018-03-19 00:00:00,0.1209,0.151,0.119,0.1473,3524524.231938019,0.0
thetausdt,HUOBI,2018-03-20 00:00:00,0.1477,0.1489,0.137,0.1462,2838884.5672841687,0.0
thetausdt,HUOBI,2018-03-21 00:00:00,0.1461,0.166,0.1459,0.1617,4534184.818909013,0.0
thetausdt,HUOBI,2018-03-22 00:00:00,0.1614,0.1624,0.1401,0.1488,3010830.2983420044,0.0
thetausdt,HUOBI,2018-03-23 00:00:00,0.1489,0.151,0.1381,0.1458,2603724.7511149095,0.0
thetausdt,HUOBI,2018-03-24 00:00:00,0.1457,0.158,0.1429,0.1555,3604854.7353158235,0.0
thetausdt,HUOBI,2018-03-25 00:00:00,0.1556,0.1568,0.1416,0.1459,2494499.057591692,0.0
thetausdt,HUOBI,2018-03-26 00:00:00,0.1459,0.1493,0.1321,0.1339,2632556.424711825,0.0
thetausdt,HUOBI,2018-03-27 00:00:00,0.1337,0.1353,0.125,0.1316,2302378.0228594216,0.0
thetausdt,HUOBI,2018-03-28 00:00:00,0.1316,0.1399,0.1261,0.1322,2546309.8310476784,0.0
thetausdt,HUOBI,2018-03-29 00:00:00,0.1322,0.1369,0.1223,0.1262,2581207.972494444,0.0
