symbol,exchange,datetime,open,high,low,close,volume,open_interest
titanusdt,HUOBI,2020-09-24 00:00:00,0.08,0.8676,0.08,0.348991,9305908.547458805,0.0
titanusdt,HUOBI,2020-09-25 00:00:00,0.335002,0.530001,0.29,0.359194,13962343.189979257,0.0
titanusdt,HUOBI,2020-09-26 00:00:00,0.359195,0.41596,0.32,0.37,11272932.68709761,0.0
titanusdt,HUOBI,2020-09-27 00:00:00,0.37,0.373551,0.305666,0.32422,9743971.102845376,0.0
titanusdt,HUOBI,2020-09-28 00:00:00,0.323151,0.324997,0.27805,0.296694,9085483.57128567,0.0
titanusdt,HUOBI,2020-09-29 00:00:00,0.296767,0.296767,0.25001,0.261532,8133403.0800585365,0.0
titanusdt,HUOBI,2020-09-30 00:00:00,0.265027,0.265027,0.230703,0.247103,7104718.624113366,0.0
titanusdt,HUOBI,2020-10-01 00:00:00,0.246917,0.313478,0.23968,0.2578,6558064.927229033,0.0
titanusdt,HUOBI,2020-10-02 00:00:00,0.256528,0.273001,0.204996,0.21457,4658482.432549527,0.0
titanusdt,HUOBI,2020-10-03 00:00:00,0.214469,0.219999,0.20156,0.212152,3996610.7332263943,0.0
titanusdt,HUOBI,2020-10-04 00:00:00,0.21103,0.217768,0.195001,0.198396,4235417.050707482,0.0
titanusdt,HUOBI,2020-10-05 00:00:00,0.198396,0.249,0.1978,0.233312,4452849.940345178,0.0
titanusdt,HUOBI,2020-10-06 00:00:00,0.234124,0.236868,0.192,0.19471,4253846.955450946,0.0
titanusdt,HUOBI,2020-10-07 00:00:00,0.194654,0.255,0.190009,0.239161,4817888.0245918725,0.0
titanusdt,HUOBI,2020-10-08 00:00:00,0.23958,0.32,0.220001,0.273591,5849033.847297292,0.0
titanusdt,HUOBI,2020-10-09 00:00:00,0.271078,0.349999,0.262,0.313555,7192916.409086738,0.0
titanusdt,HUOBI,2020-10-10 00:00:00,0.313419,0.36,0.3,0.316,7220331.698155718,0.0
titanusdt,HUOBI,2020-10-11 00:00:00,0.315399,0.3958,0.305,0.364987,7193771.160813466,0.0
titanusdt,HUOBI,2020-10-12 00:00:00,0.363282,0.41,0.345003,0.385981,8071725.210899242,0.0
titanusdt,HUOBI,2020-10-13 00:00:00,0.387,0.400505,0.320002,0.328316,7404315.004967384,0.0
titanusdt,HUOBI,2020-10-14 00:00:00,0.329923,0.378,0.329923,0.344703,3972121.0018311725,0.0
titanusdt,HUOBI,2020-10-15 00:00:00,0.344739,0.347799,0.302,0.308553,3303641.8053098912,0.0
titanusdt,HUOBI,2020-10-16 00:00:00,0.30871,0.309195,0.243033,0.273366,2963056.539969052,0.0
titanusdt,HUOBI,2020-10-17 00:00:00,0.27319,0.396452,0.255012,0.383337,4005008.764313227,0.0
titanusdt,HUOBI,2020-10-18 00:00:00,0.385037,0.469019,0.3069,0.430216,5671979.868352874,0.0
titanusdt,HUOBI,2020-10-19 00:00:00,0.433034,0.549998,0.42,0.533761,7103722.224102883,0.0
titanusdt,HUOBI,2020-10-20 00:00:00,0.531202,0.618133,0.436866,0.48615,6160077.845303314,0.0
titanusdt,HUOBI,2020-10-21 00:00:00,0.487386,0.545,0.425005,0.489022,3884269.4479339607,0.0
titanusdt,HUOBI,2020-10-22 00:00:00,0.489999,0.49,0.450001,0.456471,2804419.874472925,0.0
titanusdt,HUOBI,2020-10-23 00:00:00,0.455061,0.456601,0.4,0.408494,2799883.769739916,0.0
titanusdt,HUOBI,2020-10-24 00:00:00,0.408559,0.5366,0.408003,0.518191,5136233.7348579,0.0
titanusdt,HUOBI,2020-10-25 00:00:00,0.515214,0.709999,0.511496,0.709999,7592754.224320354,0.0
titanusdt,HUOBI,2020-10-26 00:00:00,0.703704,0.703704,0.56,0.571459,5863113.954983868,0.0
titanusdt,HUOBI,2020-10-27 00:00:00,0.573219,0.675363,0.512,0.600613,6897998.895664472,0.0
titanusdt,HUOBI,2020-10-28 00:00:00,0.602058,0.63,0.532,0.561365,4930672.763354648,0.0
titanusdt,HUOBI,2020-10-29 00:00:00,0.561378,0.634951,0.532649,0.584445,5083118.366454994,0.0
titanusdt,HUOBI,2020-10-30 00:00:00,0.582,0.6,0.488744,0.545344,7687016.472333637,0.0
titanusdt,HUOBI,2020-10-31 00:00:00,0.541005,0.575001,0.493012,0.527002,7193645.329752322,0.0
titanusdt,HUOBI,2020-11-01 00:00:00,0.52701,0.57,0.505086,0.562938,3317096.460890108,0.0
titanusdt,HUOBI,2020-11-02 00:00:00,0.564999,0.585487,0.526498,0.541087,3412309.9177127555,0.0
titanusdt,HUOBI,2020-11-03 00:00:00,0.542584,0.552371,0.4866,0.510682,2887047.130681031,0.0
titanusdt,HUOBI,2020-11-04 00:00:00,0.51314,0.529898,0.496,0.504839,2733492.5964228944,0.0
titanusdt,HUOBI,2020-11-05 00:00:00,0.504912,0.53661,0.49,0.519663,2890816.4558637138,0.0
titanusdt,HUOBI,2020-11-06 00:00:00,0.520584,0.525,0.49,0.5242,2910708.2170283385,0.0
titanusdt,HUOBI,2020-11-07 00:00:00,0.524289,0.629998,0.513468,0.591711,3710387.0738505344,0.0
titanusdt,HUOBI,2020-11-08 00:00:00,0.592354,0.619999,0.547121,0.607484,3399715.6056679436,0.0
titanusdt,HUOBI,2020-11-09 00:00:00,0.6073,0.6086,0.567883,0.576809,3162592.34843417,0.0
titanusdt,HUOBI,2020-11-10 00:00:00,0.579099,0.84,0.569,0.79385,6526485.560062893,0.0
titanusdt,HUOBI,2020-11-11 00:00:00,0.791001,0.791001,0.6012,0.645704,5171538.457928493,0.0
titanusdt,HUOBI,2020-11-12 00:00:00,0.648617,0.651,0.55,0.583,3727677.648646584,0.0
titanusdt,HUOBI,2020-11-13 00:00:00,0.579773,0.637983,0.560002,0.584806,3560798.2883237493,0.0
