symbol,exchange,datetime,open,high,low,close,volume,open_interest
trxusdt,HUOBI,2018-03-09 00:00:00,0.0266,0.0354,0.0265,0.0345,462817.50105405645,0.0
trxusdt,HUOBI,2018-03-10 00:00:00,0.0344,0.0382,0.0325,0.0373,1723761.2209076188,0.0
trxusdt,HUOBI,2018-03-11 00:00:00,0.0371,0.0377,0.0329,0.0362,1622490.69879154,0.0
trxusdt,HUOBI,2018-03-12 00:00:00,0.0361,0.03999,0.0356,0.036001,1002707.5490167494,0.0
trxusdt,HUOBI,2018-03-13 00:00:00,0.036399,0.037473,0.03434,0.035497,2731081.5845135525,0.0
trxusdt,HUOBI,2018-03-14 00:00:00,0.035299,0.036427,0.033,0.033372,940402.866170194,0.0
trxusdt,HUOBI,2018-03-15 00:00:00,0.033399,0.033455,0.028112,0.029418,1425514.0026520516,0.0
trxusdt,HUOBI,2018-03-16 00:00:00,0.029348,0.031,0.028863,0.030874,1320275.08261378,0.0
trxusdt,HUOBI,2018-03-17 00:00:00,0.030874,0.031659,0.028236,0.028702,1097396.8080662293,0.0
trxusdt,HUOBI,2018-03-18 00:00:00,0.028671,0.029025,0.023129,0.023759,1234857.98941225,0.0
trxusdt,HUOBI,2018-03-19 00:00:00,0.023768,0.033612,0.023535,0.032637,1808365.0484096692,0.0
trxusdt,HUOBI,2018-03-20 00:00:00,0.032637,0.034798,0.02766,0.033596,1710456.8334356642,0.0
trxusdt,HUOBI,2018-03-21 00:00:00,0.033606,0.040815,0.033606,0.039594,2206310.8899356965,0.0
trxusdt,HUOBI,2018-03-22 00:00:00,0.039606,0.039606,0.0343,0.03585,1647232.3356163024,0.0
trxusdt,HUOBI,2018-03-23 00:00:00,0.035746,0.038901,0.034833,0.037986,1665351.9906308684,0.0
trxusdt,HUOBI,2018-03-24 00:00:00,0.038185,0.053499,0.037408,0.049765,5840604.820914944,0.0
trxusdt,HUOBI,2018-03-25 00:00:00,0.049772,0.052,0.0455,0.046801,3140917.006939752,0.0
trxusdt,HUOBI,2018-03-26 00:00:00,0.04675,0.048199,0.039001,0.041007,3264644.5597844953,0.0
trxusdt,HUOBI,2018-03-27 00:00:00,0.041005,0.046022,0.039175,0.044509,2647365.825265515,0.0
trxusdt,HUOBI,2018-03-28 00:00:00,0.044509,0.0466,0.042284,0.044391,3094079.502930568,0.0
trxusdt,HUOBI,2018-03-29 00:00:00,0.044394,0.050999,0.044278,0.048813,4267575.780952665,0.0
trxusdt,HUOBI,2018-03-30 00:00:00,0.048813,0.051,0.03899,0.041704,5679950.591175465,0.0
trxusdt,HUOBI,2018-03-31 00:00:00,0.0416,0.0435,0.034535,0.035111,4939042.708236009,0.0
trxusdt,HUOBI,2018-04-01 00:00:00,0.035003,0.035966,0.028,0.028898,2627678.7704626946,0.0
trxusdt,HUOBI,2018-04-02 00:00:00,0.028711,0.035411,0.028706,0.03426,3192312.2997826748,0.0
trxusdt,HUOBI,2018-04-03 00:00:00,0.0344,0.036,0.032999,0.03446,2573666.2134774034,0.0
trxusdt,HUOBI,2018-04-04 00:00:00,0.034438,0.0355,0.029533,0.02971,2750446.1772326245,0.0
trxusdt,HUOBI,2018-04-05 00:00:00,0.029677,0.046549,0.0286,0.038133,10613081.640008463,0.0
trxusdt,HUOBI,2018-04-06 00:00:00,0.038133,0.04431,0.03502,0.036919,5764923.342687046,0.0
trxusdt,HUOBI,2018-04-07 00:00:00,0.036879,0.038302,0.035694,0.037599,3782456.1875832514,0.0
