symbol,exchange,datetime,open,high,low,close,volume,open_interest
uniusdt,HUOBI,2020-09-17 00:00:00,1.0,5.5,1.0,3.0017,84933096.42351535,0.0
uniusdt,HUOBI,2020-09-18 00:00:00,2.9999,6.981,2.94,6.4246,246147651.06973436,0.0
uniusdt,HUOBI,2020-09-19 00:00:00,6.4211,8.666,6.0,6.7287,329467054.7374306,0.0
uniusdt,HUOBI,2020-09-20 00:00:00,6.7285,6.9297,4.85,4.9695,155579406.74021035,0.0
uniusdt,HUOBI,2020-09-21 00:00:00,4.9691,5.6666,4.0661,4.2694,133966053.14925125,0.0
uniusdt,HUOBI,2020-09-22 00:00:00,4.262,4.6627,3.7,3.902,71866150.57724752,0.0
uniusdt,HUOBI,2020-09-23 00:00:00,3.902,4.9618,3.8335,4.6992,91186868.51558797,0.0
uniusdt,HUOBI,2020-09-24 00:00:00,4.6952,5.3456,4.078,5.0148,106338420.6087847,0.0
uniusdt,HUOBI,2020-09-25 00:00:00,5.0118,5.555,4.7674,5.0781,68755157.91539666,0.0
uniusdt,HUOBI,2020-09-26 00:00:00,5.0781,5.25,4.68,4.8903,42462732.22215059,0.0
uniusdt,HUOBI,2020-09-27 00:00:00,4.8902,5.2111,4.6943,4.8211,44437437.75519134,0.0
uniusdt,HUOBI,2020-09-28 00:00:00,4.8158,4.95,4.4,4.4387,33921388.249771,0.0
uniusdt,HUOBI,2020-09-29 00:00:00,4.4352,4.4939,4.1265,4.2251,29251511.44984487,0.0
uniusdt,HUOBI,2020-09-30 00:00:00,4.2241,4.3855,3.9511,4.0597,21576737.52495043,0.0
uniusdt,HUOBI,2020-10-01 00:00:00,4.0606,4.513,4.0313,4.2616,25717996.473912846,0.0
uniusdt,HUOBI,2020-10-02 00:00:00,4.2599,4.2632,3.5878,3.85,46075927.7407995,0.0
uniusdt,HUOBI,2020-10-03 00:00:00,3.8506,3.9725,3.7619,3.8958,17339240.66755116,0.0
uniusdt,HUOBI,2020-10-04 00:00:00,3.894,4.1183,3.6207,3.6543,21976375.250697177,0.0
uniusdt,HUOBI,2020-10-05 00:00:00,3.652,3.7958,3.4568,3.4841,20301070.595538523,0.0
uniusdt,HUOBI,2020-10-06 00:00:00,3.484,3.4876,2.86,3.0845,44536799.28888916,0.0
uniusdt,HUOBI,2020-10-07 00:00:00,3.0833,3.0887,2.4655,2.6847,49788060.33237061,0.0
uniusdt,HUOBI,2020-10-08 00:00:00,2.6847,3.3936,2.5478,3.2841,54731814.1677199,0.0
uniusdt,HUOBI,2020-10-09 00:00:00,3.2817,3.5987,3.1617,3.4818,43940332.03942066,0.0
uniusdt,HUOBI,2020-10-10 00:00:00,3.4811,3.6555,3.2276,3.3579,30621331.355528764,0.0
uniusdt,HUOBI,2020-10-11 00:00:00,3.3561,3.4493,3.1831,3.3194,21391514.874825254,0.0
uniusdt,HUOBI,2020-10-12 00:00:00,3.3185,3.4876,3.2645,3.4178,24447246.5764166,0.0
uniusdt,HUOBI,2020-10-13 00:00:00,3.4197,3.5996,3.34,3.3901,20872796.387157038,0.0
uniusdt,HUOBI,2020-10-14 00:00:00,3.3886,3.4419,3.1775,3.1938,18132721.077281386,0.0
uniusdt,HUOBI,2020-10-15 00:00:00,3.1911,3.2141,2.915,3.071,22662737.973607864,0.0
