symbol,exchange,datetime,open,high,low,close,volume,open_interest
utkusdt,HUOBI,2020-09-09 00:00:00,0.1051,0.1798,0.1051,0.1501,1811589.27751289,0.0
utkusdt,HUOBI,2020-09-10 00:00:00,0.1504,0.151,0.1301,0.1354,580620.6970424866,0.0
utkusdt,HUOBI,2020-09-11 00:00:00,0.1356,0.14,0.124,0.1294,146956.875904,0.0
utkusdt,HUOBI,2020-09-12 00:00:00,0.1298,0.134,0.1243,0.1303,97645.52643945,0.0
utkusdt,HUOBI,2020-09-13 00:00:00,0.1297,0.1381,0.1233,0.1246,149432.26176391,0.0
utkusdt,HUOBI,2020-09-14 00:00:00,0.1246,0.1292,0.1136,0.1276,109877.47728736,0.0
utkusdt,HUOBI,2020-09-15 00:00:00,0.1277,0.2001,0.1276,0.2001,3576944.747140548,0.0
utkusdt,HUOBI,2020-09-16 00:00:00,0.2007,0.22,0.1418,0.1639,700642.42445844,0.0
utkusdt,HUOBI,2020-09-17 00:00:00,0.1643,0.1666,0.1479,0.1531,158548.51579245573,0.0
utkusdt,HUOBI,2020-09-18 00:00:00,0.1534,0.1565,0.1401,0.1412,117870.26088369,0.0
utkusdt,HUOBI,2020-09-19 00:00:00,0.1413,0.1528,0.1361,0.149,122087.24170684115,0.0
utkusdt,HUOBI,2020-09-20 00:00:00,0.1488,0.1902,0.1425,0.1442,449104.7601324152,0.0
utkusdt,HUOBI,2020-09-21 00:00:00,0.1449,0.169,0.1288,0.1296,318367.69076804776,0.0
utkusdt,HUOBI,2020-09-22 00:00:00,0.1294,0.1431,0.1255,0.1273,233004.66054271,0.0
utkusdt,HUOBI,2020-09-23 00:00:00,0.1272,0.1385,0.119,0.1275,132629.9914,0.0
utkusdt,HUOBI,2020-09-24 00:00:00,0.1277,0.1278,0.1076,0.124,97428.002202,0.0
utkusdt,HUOBI,2020-09-25 00:00:00,0.1242,0.1475,0.1241,0.1372,115083.31894143268,0.0
utkusdt,HUOBI,2020-09-26 00:00:00,0.1375,0.1573,0.13,0.1353,141051.11800233586,0.0
utkusdt,HUOBI,2020-09-27 00:00:00,0.1355,0.1389,0.127,0.1296,63471.402605,0.0
utkusdt,HUOBI,2020-09-28 00:00:00,0.1297,0.1388,0.125,0.1357,75188.504094,0.0
utkusdt,HUOBI,2020-09-29 00:00:00,0.1358,0.1389,0.1298,0.1322,79578.85025051,0.0
utkusdt,HUOBI,2020-09-30 00:00:00,0.1323,0.1346,0.122,0.1263,803590.91283,0.0
utkusdt,HUOBI,2020-10-01 00:00:00,0.1261,0.1417,0.1246,0.1331,282497.41121627,0.0
utkusdt,HUOBI,2020-10-02 00:00:00,0.1332,0.192,0.1229,0.1585,1791406.234826431,0.0
utkusdt,HUOBI,2020-10-03 00:00:00,0.1584,0.1665,0.146,0.1484,209205.05389597,0.0
utkusdt,HUOBI,2020-10-04 00:00:00,0.1486,0.1494,0.1346,0.1382,116004.86130533,0.0
utkusdt,HUOBI,2020-10-05 00:00:00,0.1381,0.1456,0.135,0.1357,97469.4413072365,0.0
utkusdt,HUOBI,2020-10-06 00:00:00,0.1357,0.1357,0.125,0.1258,80636.066054,0.0
utkusdt,HUOBI,2020-10-07 00:00:00,0.1258,0.1347,0.1124,0.1173,123966.31536988,0.0
utkusdt,HUOBI,2020-10-08 00:00:00,0.1172,0.1355,0.1167,0.125,148705.34900816932,0.0
utkusdt,HUOBI,2020-10-09 00:00:00,0.1252,0.1355,0.1242,0.1328,79925.70251642,0.0
utkusdt,HUOBI,2020-10-10 00:00:00,0.1328,0.1455,0.1282,0.1357,90043.64100603,0.0
utkusdt,HUOBI,2020-10-11 00:00:00,0.1357,0.1372,0.1313,0.1346,50390.82334293,0.0
utkusdt,HUOBI,2020-10-12 00:00:00,0.1345,0.1365,0.1302,0.135,61747.65234112,0.0
utkusdt,HUOBI,2020-10-13 00:00:00,0.135,0.1366,0.1289,0.1329,74900.95667543,0.0
utkusdt,HUOBI,2020-10-14 00:00:00,0.1328,0.1332,0.1256,0.126,60072.644935,0.0
utkusdt,HUOBI,2020-10-15 00:00:00,0.126,0.1414,0.1223,0.13,78048.21927811,0.0
utkusdt,HUOBI,2020-10-16 00:00:00,0.1299,0.14,0.122,0.1247,117538.53890916503,0.0
utkusdt,HUOBI,2020-10-17 00:00:00,0.1248,0.125,0.1201,0.1233,67489.05073197754,0.0
utkusdt,HUOBI,2020-10-18 00:00:00,0.1232,0.1295,0.1224,0.1292,55827.77125783,0.0
utkusdt,HUOBI,2020-10-19 00:00:00,0.1291,0.1302,0.1251,0.1275,58950.78058674,0.0
utkusdt,HUOBI,2020-10-20 00:00:00,0.1274,0.1286,0.1106,0.1106,86268.84195674,0.0
utkusdt,HUOBI,2020-10-21 00:00:00,0.1109,0.111,0.1023,0.1068,99923.8825187131,0.0
utkusdt,HUOBI,2020-10-22 00:00:00,0.1068,0.12,0.1068,0.1195,142506.6349529038,0.0
utkusdt,HUOBI,2020-10-23 00:00:00,0.1193,0.12,0.1068,0.1081,103835.82145804,0.0
utkusdt,HUOBI,2020-10-24 00:00:00,0.108,0.1099,0.099,0.1027,161193.98104277105,0.0
utkusdt,HUOBI,2020-10-25 00:00:00,0.1028,0.1063,0.0948,0.0949,101259.74877118575,0.0
utkusdt,HUOBI,2020-10-26 00:00:00,0.0949,0.0989,0.0924,0.0957,105748.34688385,0.0
utkusdt,HUOBI,2020-10-27 00:00:00,0.0938,0.125,0.0938,0.0987,786709.5762204886,0.0
utkusdt,HUOBI,2020-10-28 00:00:00,0.0989,0.1011,0.086,0.092,154257.37057534815,0.0
utkusdt,HUOBI,2020-10-29 00:00:00,0.0918,0.0944,0.0846,0.0927,110713.92222252,0.0
utkusdt,HUOBI,2020-10-30 00:00:00,0.0923,0.1051,0.0873,0.0932,153655.04035446,0.0
utkusdt,HUOBI,2020-10-31 00:00:00,0.0934,0.0952,0.0855,0.0948,80291.97710467,0.0
utkusdt,HUOBI,2020-11-01 00:00:00,0.0948,0.0993,0.0918,0.096,111465.15257307,0.0
utkusdt,HUOBI,2020-11-02 00:00:00,0.096,0.0966,0.0887,0.0925,67672.02208788,0.0
utkusdt,HUOBI,2020-11-03 00:00:00,0.092,0.0978,0.0807,0.0948,91521.24505436,0.0
utkusdt,HUOBI,2020-11-04 00:00:00,0.095,0.1259,0.0909,0.1155,416695.29156548233,0.0
utkusdt,HUOBI,2020-11-05 00:00:00,0.1154,0.1156,0.094,0.1019,256790.6383117103,0.0
utkusdt,HUOBI,2020-11-06 00:00:00,0.1017,0.1147,0.0979,0.1111,187526.98836694,0.0
utkusdt,HUOBI,2020-11-07 00:00:00,0.1111,0.1134,0.1022,0.1047,147005.47935246,0.0
utkusdt,HUOBI,2020-11-08 00:00:00,0.1045,0.1089,0.0946,0.108,133456.07476024,0.0
utkusdt,HUOBI,2020-11-09 00:00:00,0.107,0.25,0.107,0.1422,5906488.809249955,0.0
utkusdt,HUOBI,2020-11-10 00:00:00,0.1417,0.1431,0.123,0.1317,1197722.5885986143,0.0
utkusdt,HUOBI,2020-11-11 00:00:00,0.1322,0.1335,0.124,0.1258,328202.1462239994,0.0
utkusdt,HUOBI,2020-11-12 00:00:00,0.1258,0.1263,0.1153,0.1169,238477.50713278,0.0
utkusdt,HUOBI,2020-11-13 00:00:00,0.1171,0.1297,0.1131,0.1284,252378.34000407963,0.0
utkusdt,HUOBI,2020-11-14 00:00:00,0.1284,0.1288,0.1146,0.1242,182259.55867372,0.0
utkusdt,HUOBI,2020-11-15 00:00:00,0.1242,0.146,0.1196,0.146,291380.14293788,0.0
utkusdt,HUOBI,2020-11-16 00:00:00,0.146,0.1461,0.1268,0.1339,198116.66494756332,0.0
utkusdt,HUOBI,2020-11-17 00:00:00,0.1342,0.1388,0.1268,0.1309,207985.3367542526,0.0
utkusdt,HUOBI,2020-11-18 00:00:00,0.1309,0.14,0.1232,0.1255,300207.80712018337,0.0
utkusdt,HUOBI,2020-11-19 00:00:00,0.1261,0.1341,0.1239,0.1301,155998.51601666,0.0
utkusdt,HUOBI,2020-11-20 00:00:00,0.1303,0.1364,0.129,0.1326,210750.19573877953,0.0
utkusdt,HUOBI,2020-11-21 00:00:00,0.1327,0.1514,0.132,0.1506,338530.09952061,0.0
utkusdt,HUOBI,2020-11-22 00:00:00,0.1506,0.1558,0.13,0.1464,339955.99252539786,0.0
utkusdt,HUOBI,2020-11-23 00:00:00,0.1465,0.1677,0.1463,0.1585,400581.0628325733,0.0
utkusdt,HUOBI,2020-11-24 00:00:00,0.1586,0.173,0.1485,0.1563,319133.46080985735,0.0
utkusdt,HUOBI,2020-11-25 00:00:00,0.1562,0.1604,0.145,0.1499,201911.63037056,0.0
utkusdt,HUOBI,2020-11-26 00:00:00,0.15,0.1539,0.1141,0.1196,232344.55335822326,0.0
utkusdt,HUOBI,2020-11-27 00:00:00,0.1196,0.1293,0.1101,0.1169,157652.88425321,0.0
utkusdt,HUOBI,2020-11-28 00:00:00,0.117,0.1256,0.1166,0.125,113584.75592779,0.0
utkusdt,HUOBI,2020-11-29 00:00:00,0.1248,0.132,0.1199,0.123,143032.37360985,0.0
