symbol,exchange,datetime,open,high,low,close,volume,open_interest
uuuusdt,HUOBI,2019-08-05 00:00:00,0.007911,0.0094,0.007911,0.00835,1401989.1160668083,0.0
uuuusdt,HUOBI,2019-08-06 00:00:00,0.008368,0.00933,0.008005,0.008943,1670953.6715725698,0.0
uuuusdt,HUOBI,2019-08-07 00:00:00,0.008938,0.008999,0.006901,0.00735,2098927.5109610995,0.0
uuuusdt,HUOBI,2019-08-08 00:00:00,0.00735,0.0074,0.005861,0.005901,2920831.7415426327,0.0
uuuusdt,HUOBI,2019-08-09 00:00:00,0.005901,0.00595,0.0025,0.00264,7223974.49826361,0.0
uuuusdt,HUOBI,2019-08-10 00:00:00,0.002647,0.002829,0.001721,0.001833,5078816.71572986,0.0
uuuusdt,HUOBI,2019-08-11 00:00:00,0.001833,0.0027,0.001832,0.002587,6436964.202678938,0.0
uuuusdt,HUOBI,2019-08-12 00:00:00,0.002587,0.00337,0.002586,0.003251,6589300.755077697,0.0
uuuusdt,HUOBI,2019-08-13 00:00:00,0.003248,0.00357,0.0026,0.00296,4717679.508222208,0.0
uuuusdt,HUOBI,2019-08-14 00:00:00,0.002961,0.00297,0.002345,0.002578,2153931.751811533,0.0
uuuusdt,HUOBI,2019-08-15 00:00:00,0.00258,0.00258,0.001823,0.002009,1756565.831491771,0.0
uuuusdt,HUOBI,2019-08-16 00:00:00,0.00201,0.002259,0.001844,0.002093,1698822.4270728307,0.0
uuuusdt,HUOBI,2019-08-17 00:00:00,0.002091,0.002148,0.001957,0.001997,547900.2368384642,0.0
uuuusdt,HUOBI,2019-08-18 00:00:00,0.001997,0.002036,0.00185,0.001941,545358.6131651892,0.0
uuuusdt,HUOBI,2019-08-19 00:00:00,0.001941,0.001951,0.0017,0.001783,736236.0121735741,0.0
uuuusdt,HUOBI,2019-08-20 00:00:00,0.001788,0.001899,0.00165,0.001831,772160.4360012271,0.0
uuuusdt,HUOBI,2019-08-21 00:00:00,0.001853,0.001853,0.00159,0.001632,459927.62464895257,0.0
uuuusdt,HUOBI,2019-08-22 00:00:00,0.001632,0.001685,0.00136,0.001444,731699.2394664587,0.0
uuuusdt,HUOBI,2019-08-23 00:00:00,0.001444,0.001598,0.001421,0.001514,717398.8091808733,0.0
uuuusdt,HUOBI,2019-08-24 00:00:00,0.001511,0.001514,0.0014,0.001435,333134.05450107,0.0
uuuusdt,HUOBI,2019-08-25 00:00:00,0.001433,0.00149,0.001341,0.00143,409064.5099373506,0.0
uuuusdt,HUOBI,2019-08-26 00:00:00,0.001429,0.001435,0.001367,0.001395,192513.32010005,0.0
uuuusdt,HUOBI,2019-08-27 00:00:00,0.001395,0.001395,0.00123,0.00127,355918.2157942876,0.0
uuuusdt,HUOBI,2019-08-28 00:00:00,0.00127,0.001272,0.001076,0.001119,702896.7154874247,0.0
uuuusdt,HUOBI,2019-08-29 00:00:00,0.00112,0.001121,0.000868,0.000933,719257.1642337334,0.0
uuuusdt,HUOBI,2019-08-30 00:00:00,0.000935,0.001031,0.000891,0.000988,466791.5442868987,0.0
uuuusdt,HUOBI,2019-08-31 00:00:00,0.000985,0.001414,0.000985,0.001379,2672722.5949876974,0.0
uuuusdt,HUOBI,2019-09-01 00:00:00,0.001384,0.001686,0.001166,0.001237,3886369.785321202,0.0
uuuusdt,HUOBI,2019-09-02 00:00:00,0.001239,0.00127,0.001103,0.001148,1166748.402078046,0.0
uuuusdt,HUOBI,2019-09-03 00:00:00,0.001145,0.001222,0.00103,0.001153,979962.9853739247,0.0
uuuusdt,HUOBI,2019-09-04 00:00:00,0.001153,0.00117,0.001061,0.00107,417262.03949587,0.0
uuuusdt,HUOBI,2019-09-05 00:00:00,0.001071,0.00121,0.001071,0.001154,979190.156982144,0.0
uuuusdt,HUOBI,2019-09-06 00:00:00,0.001153,0.001153,0.001021,0.001065,399060.0865456392,0.0
uuuusdt,HUOBI,2019-09-07 00:00:00,0.001065,0.001077,0.000994,0.001067,260487.01835146316,0.0
uuuusdt,HUOBI,2019-09-08 00:00:00,0.001068,0.001068,0.001,0.001027,211647.01286759588,0.0
uuuusdt,HUOBI,2019-09-09 00:00:00,0.001027,0.001029,0.000966,0.00099,157984.1552664911,0.0
uuuusdt,HUOBI,2019-09-10 00:00:00,0.00099,0.00108,0.00099,0.001021,425519.68424498354,0.0
uuuusdt,HUOBI,2019-09-11 00:00:00,0.00102,0.001021,0.00094,0.000968,209640.63837630808,0.0
uuuusdt,HUOBI,2019-09-12 00:00:00,0.000969,0.000969,0.000888,0.000933,222401.9462655344,0.0
uuuusdt,HUOBI,2019-09-13 00:00:00,0.000933,0.00094,0.000888,0.000907,95023.51107096,0.0
uuuusdt,HUOBI,2019-09-14 00:00:00,0.000907,0.000978,0.000907,0.00096,360644.1083043458,0.0
uuuusdt,HUOBI,2019-09-15 00:00:00,0.000961,0.000961,0.000916,0.000923,175462.67288245662,0.0
uuuusdt,HUOBI,2019-09-16 00:00:00,0.000925,0.000953,0.000878,0.000899,238994.17010182384,0.0
uuuusdt,HUOBI,2019-09-17 00:00:00,0.000899,0.000921,0.000876,0.000914,170792.59677422,0.0
uuuusdt,HUOBI,2019-09-18 00:00:00,0.000916,0.000919,0.000877,0.000898,193574.55859542498,0.0
uuuusdt,HUOBI,2019-09-19 00:00:00,0.000899,0.001006,0.000881,0.000923,530358.89575629,0.0
uuuusdt,HUOBI,2019-09-20 00:00:00,0.000923,0.000945,0.000861,0.000912,220052.95458977934,0.0
uuuusdt,HUOBI,2019-09-21 00:00:00,0.000912,0.000915,0.00088,0.000891,102536.57151442,0.0
uuuusdt,HUOBI,2019-09-22 00:00:00,0.000889,0.000916,0.000862,0.000871,119524.15822993,0.0
uuuusdt,HUOBI,2019-09-23 00:00:00,0.000871,0.000876,0.000817,0.000829,146422.10485745,0.0
uuuusdt,HUOBI,2019-09-24 00:00:00,0.000829,0.000839,0.000718,0.000721,185665.29903399,0.0
uuuusdt,HUOBI,2019-09-25 00:00:00,0.000721,0.00073,0.00054,0.000612,166001.15840081,0.0
uuuusdt,HUOBI,2019-09-26 00:00:00,0.000611,0.000697,0.00059,0.000629,124191.1009031,0.0
uuuusdt,HUOBI,2019-09-27 00:00:00,0.00063,0.000664,0.000605,0.00062,78320.83793315,0.0
uuuusdt,HUOBI,2019-09-28 00:00:00,0.00062,0.000646,0.000619,0.000621,73588.5555077,0.0
uuuusdt,HUOBI,2019-09-29 00:00:00,0.000621,0.000628,0.000578,0.000583,72322.63020151,0.0
uuuusdt,HUOBI,2019-09-30 00:00:00,0.000583,0.00066,0.000541,0.000601,112923.73774009,0.0
uuuusdt,HUOBI,2019-10-01 00:00:00,0.000603,0.000613,0.000578,0.000588,101083.18562770692,0.0
uuuusdt,HUOBI,2019-10-02 00:00:00,0.000588,0.00061,0.000581,0.000594,98548.56386449,0.0
uuuusdt,HUOBI,2019-10-03 00:00:00,0.000596,0.000619,0.000575,0.000619,68551.36654074,0.0
uuuusdt,HUOBI,2019-10-04 00:00:00,0.000619,0.000623,0.000596,0.000613,66892.7795218,0.0
uuuusdt,HUOBI,2019-10-05 00:00:00,0.000613,0.00062,0.00059,0.000593,38938.70821747,0.0
uuuusdt,HUOBI,2019-10-06 00:00:00,0.000594,0.000713,0.000594,0.000645,632776.6695203577,0.0
uuuusdt,HUOBI,2019-10-07 00:00:00,0.000646,0.000646,0.000585,0.000615,198949.84325627692,0.0
uuuusdt,HUOBI,2019-10-08 00:00:00,0.000616,0.000625,0.000594,0.000612,70951.69606316,0.0
uuuusdt,HUOBI,2019-10-09 00:00:00,0.000613,0.000616,0.000593,0.000613,75700.91156561187,0.0
uuuusdt,HUOBI,2019-10-10 00:00:00,0.000614,0.000617,0.00057,0.000591,72550.55820494,0.0
uuuusdt,HUOBI,2019-10-11 00:00:00,0.000591,0.000599,0.000538,0.000554,66087.24177223707,0.0
uuuusdt,HUOBI,2019-10-12 00:00:00,0.000555,0.000582,0.00054,0.000555,51205.40761387564,0.0
uuuusdt,HUOBI,2019-10-13 00:00:00,0.000553,0.000605,0.000553,0.000576,105553.1243262151,0.0
uuuusdt,HUOBI,2019-10-14 00:00:00,0.000576,0.000586,0.00055,0.000558,58404.82776932,0.0
uuuusdt,HUOBI,2019-10-15 00:00:00,0.000559,0.00057,0.000538,0.000554,69289.03360217,0.0
uuuusdt,HUOBI,2019-10-16 00:00:00,0.000554,0.000568,0.000514,0.000523,304665.29759129,0.0
uuuusdt,HUOBI,2019-10-17 00:00:00,0.000523,0.000564,0.000523,0.000543,72387.89025209,0.0
uuuusdt,HUOBI,2019-10-18 00:00:00,0.000543,0.000588,0.00052,0.000571,112944.29293217,0.0
uuuusdt,HUOBI,2019-10-19 00:00:00,0.000572,0.000655,0.000541,0.000645,151810.3698734093,0.0
uuuusdt,HUOBI,2019-10-20 00:00:00,0.000644,0.000698,0.000593,0.000659,210060.41624264,0.0
uuuusdt,HUOBI,2019-10-21 00:00:00,0.000659,0.000833,0.000659,0.000757,629666.5334679965,0.0
uuuusdt,HUOBI,2019-10-22 00:00:00,0.000756,0.000757,0.00064,0.000695,219142.66837526,0.0
uuuusdt,HUOBI,2019-10-23 00:00:00,0.000697,0.00076,0.000572,0.000595,263076.36870238,0.0
uuuusdt,HUOBI,2019-10-24 00:00:00,0.000593,0.00066,0.000581,0.000627,139698.01587544728,0.0
uuuusdt,HUOBI,2019-10-25 00:00:00,0.000628,0.00067,0.000601,0.000656,126673.35551502132,0.0
uuuusdt,HUOBI,2019-10-26 00:00:00,0.000657,0.000675,0.000613,0.000653,185996.17322961,0.0
uuuusdt,HUOBI,2019-10-27 00:00:00,0.000653,0.00066,0.000624,0.000649,123885.08916329239,0.0
uuuusdt,HUOBI,2019-10-28 00:00:00,0.000648,0.0007,0.000632,0.000688,239486.09180251,0.0
uuuusdt,HUOBI,2019-10-29 00:00:00,0.000689,0.00069,0.00066,0.000682,176613.21737509,0.0
uuuusdt,HUOBI,2019-10-30 00:00:00,0.00068,0.00089,0.000675,0.000757,1180854.4381400365,0.0
uuuusdt,HUOBI,2019-10-31 00:00:00,0.000756,0.000866,0.000706,0.00077,440499.6244222728,0.0
uuuusdt,HUOBI,2019-11-01 00:00:00,0.000773,0.000858,0.00074,0.000819,503177.3500886554,0.0
uuuusdt,HUOBI,2019-11-02 00:00:00,0.000819,0.001058,0.000781,0.000996,1072058.7724243458,0.0
uuuusdt,HUOBI,2019-11-03 00:00:00,0.000998,0.000999,0.00085,0.000951,560209.6177942737,0.0
uuuusdt,HUOBI,2019-11-04 00:00:00,0.00095,0.00095,0.000858,0.000885,272946.6722757811,0.0
uuuusdt,HUOBI,2019-11-05 00:00:00,0.000889,0.000895,0.000804,0.000828,238570.86778328833,0.0
uuuusdt,HUOBI,2019-11-06 00:00:00,0.000827,0.00085,0.00076,0.000839,226915.47947291963,0.0
uuuusdt,HUOBI,2019-11-07 00:00:00,0.000839,0.000839,0.000731,0.000748,202885.37878865,0.0
uuuusdt,HUOBI,2019-11-08 00:00:00,0.000749,0.000804,0.000691,0.000739,246613.85042516483,0.0
uuuusdt,HUOBI,2019-11-09 00:00:00,0.000738,0.00077,0.000715,0.000739,68258.00350098,0.0
uuuusdt,HUOBI,2019-11-10 00:00:00,0.000738,0.000791,0.000736,0.000784,171965.65727624725,0.0
uuuusdt,HUOBI,2019-11-11 00:00:00,0.000784,0.000835,0.000765,0.000829,318866.89214339,0.0
uuuusdt,HUOBI,2019-11-12 00:00:00,0.000826,0.000847,0.000791,0.000839,126856.92141631,0.0
uuuusdt,HUOBI,2019-11-13 00:00:00,0.000838,0.000846,0.000782,0.000798,143323.24711743413,0.0
uuuusdt,HUOBI,2019-11-14 00:00:00,0.000798,0.000798,0.00069,0.000733,179562.46771355,0.0
uuuusdt,HUOBI,2019-11-15 00:00:00,0.000731,0.000805,0.0007,0.00072,189895.59035213667,0.0
uuuusdt,HUOBI,2019-11-16 00:00:00,0.000719,0.000769,0.000701,0.000722,73274.39537109956,0.0
uuuusdt,HUOBI,2019-11-17 00:00:00,0.000724,0.000738,0.000694,0.000724,61890.05515451,0.0
uuuusdt,HUOBI,2019-11-18 00:00:00,0.000724,0.000745,0.000705,0.000714,40984.90882250967,0.0
uuuusdt,HUOBI,2019-11-19 00:00:00,0.000714,0.000798,0.00068,0.00069,426600.7395775081,0.0
uuuusdt,HUOBI,2019-11-20 00:00:00,0.000689,0.000695,0.000655,0.000671,73437.19832431,0.0
uuuusdt,HUOBI,2019-11-21 00:00:00,0.00067,0.00067,0.00057,0.000598,94807.95642736,0.0
uuuusdt,HUOBI,2019-11-22 00:00:00,0.000598,0.000607,0.000516,0.000543,82555.15297392,0.0
uuuusdt,HUOBI,2019-11-23 00:00:00,0.000542,0.000584,0.00053,0.000558,57845.79632535,0.0
uuuusdt,HUOBI,2019-11-24 00:00:00,0.000557,0.000617,0.000493,0.000499,119241.9036765211,0.0
uuuusdt,HUOBI,2019-11-25 00:00:00,0.000498,0.000506,0.000371,0.000489,160834.93453906,0.0
uuuusdt,HUOBI,2019-11-26 00:00:00,0.000489,0.000523,0.000431,0.000504,112038.46181888,0.0
uuuusdt,HUOBI,2019-11-27 00:00:00,0.000501,0.00054,0.00048,0.000538,110786.4152303,0.0
uuuusdt,HUOBI,2019-11-28 00:00:00,0.000537,0.000564,0.000506,0.000546,140776.88177985,0.0
uuuusdt,HUOBI,2019-11-29 00:00:00,0.000547,0.000561,0.000518,0.000547,71392.78512199,0.0
uuuusdt,HUOBI,2019-11-30 00:00:00,0.000548,0.000558,0.000502,0.000516,49576.22278845738,0.0
uuuusdt,HUOBI,2019-12-01 00:00:00,0.000517,0.000538,0.00048,0.000489,48899.96894855,0.0
uuuusdt,HUOBI,2019-12-02 00:00:00,0.00049,0.000506,0.000474,0.000496,47709.7288483,0.0
