symbol,exchange,datetime,open,high,low,close,volume,open_interest
valueusdt,HUOBI,2020-09-01 00:00:00,49.1863,82.0,49.1863,66.4983,18844129.615205947,0.0
valueusdt,HUOBI,2020-09-02 00:00:00,66.4356,85.8,51.0,58.0639,22886129.976138357,0.0
valueusdt,HUOBI,2020-09-03 00:00:00,58.0639,63.5,35.0051,38.7929,20140554.54266608,0.0
valueusdt,HUOBI,2020-09-04 00:00:00,38.79,41.8887,22.5362,24.268,16511883.025472283,0.0
valueusdt,HUOBI,2020-09-05 00:00:00,24.27,30.9995,15.0133,19.745,12666700.684932215,0.0
valueusdt,HUOBI,2020-09-06 00:00:00,19.7999,27.3998,17.034,25.7856,15944009.04655814,0.0
valueusdt,HUOBI,2020-09-07 00:00:00,25.7301,29.9,20.5,23.6424,10587788.433769789,0.0
valueusdt,HUOBI,2020-09-08 00:00:00,23.8085,25.0,19.5858,21.3704,5110050.382770541,0.0
valueusdt,HUOBI,2020-09-09 00:00:00,21.3831,22.0,17.2811,21.5686,7086350.433853247,0.0
valueusdt,HUOBI,2020-09-10 00:00:00,21.4987,21.4987,17.2,17.8,6425845.3858098565,0.0
valueusdt,HUOBI,2020-09-11 00:00:00,17.8,20.5,15.6221,16.7371,6135087.007219591,0.0
valueusdt,HUOBI,2020-09-12 00:00:00,16.7598,24.99,16.2223,24.1,12851410.901955293,0.0
valueusdt,HUOBI,2020-09-13 00:00:00,24.1,28.8,20.66,21.17,18111015.87619831,0.0
valueusdt,HUOBI,2020-09-14 00:00:00,21.1701,23.2627,19.6668,21.5003,9094715.33711912,0.0
valueusdt,HUOBI,2020-09-15 00:00:00,21.5022,23.5,17.9835,18.5493,7934784.493954677,0.0
valueusdt,HUOBI,2020-09-16 00:00:00,18.5349,19.7777,15.6801,17.3725,5474182.453392371,0.0
valueusdt,HUOBI,2020-09-17 00:00:00,17.4695,18.9,15.5,15.843,3983312.133370168,0.0
valueusdt,HUOBI,2020-09-18 00:00:00,15.88,15.9978,13.6801,14.1568,6183071.376163109,0.0
valueusdt,HUOBI,2020-09-19 00:00:00,14.1002,14.1622,10.51,12.1877,6290336.313906055,0.0
valueusdt,HUOBI,2020-09-20 00:00:00,12.2038,13.4889,11.0004,11.2562,3978856.787920404,0.0
valueusdt,HUOBI,2020-09-21 00:00:00,11.2705,11.52,7.6003,8.1915,5267316.444854987,0.0
valueusdt,HUOBI,2020-09-22 00:00:00,8.2334,9.2553,7.1129,8.1492,3748340.1148242396,0.0
valueusdt,HUOBI,2020-09-23 00:00:00,8.1489,8.332,6.4,6.8486,4401537.4734421875,0.0
valueusdt,HUOBI,2020-09-24 00:00:00,6.853,7.45,5.3301,6.2257,4527677.558670904,0.0
valueusdt,HUOBI,2020-09-25 00:00:00,6.2432,8.1799,6.0001,7.4493,5581694.414494071,0.0
valueusdt,HUOBI,2020-09-26 00:00:00,7.409,9.3,7.409,9.239,4896426.125139596,0.0
valueusdt,HUOBI,2020-09-27 00:00:00,9.2389,9.2599,7.55,8.05,4268267.6282311445,0.0
valueusdt,HUOBI,2020-09-28 00:00:00,8.05,8.0964,7.1056,7.6323,2124353.65851315,0.0
valueusdt,HUOBI,2020-09-29 00:00:00,7.6323,8.05,6.7403,6.983,2166288.5195319294,0.0
valueusdt,HUOBI,2020-09-30 00:00:00,6.986,6.9934,6.3,6.6099,1776389.0890225975,0.0
valueusdt,HUOBI,2020-10-01 00:00:00,6.6015,7.5628,6.4002,7.1662,2085480.603255039,0.0
valueusdt,HUOBI,2020-10-02 00:00:00,7.1662,7.4551,6.218,6.5536,2762249.081550811,0.0
valueusdt,HUOBI,2020-10-03 00:00:00,6.5706,6.987,6.5003,6.9036,1031691.5440213531,0.0
valueusdt,HUOBI,2020-10-04 00:00:00,6.9172,7.14,5.6727,5.675,1423280.6557316622,0.0
valueusdt,HUOBI,2020-10-05 00:00:00,5.675,6.2153,5.6,5.8908,1267979.51365107,0.0
valueusdt,HUOBI,2020-10-06 00:00:00,5.9007,5.9826,4.5,5.01,2943479.079921344,0.0
valueusdt,HUOBI,2020-10-07 00:00:00,5.01,5.0102,3.9601,4.1642,2504682.493656316,0.0
valueusdt,HUOBI,2020-10-08 00:00:00,4.165,4.6965,3.9085,4.5003,1790856.838263076,0.0
valueusdt,HUOBI,2020-10-09 00:00:00,4.5086,5.45,4.2937,5.3757,3085470.0595666952,0.0
valueusdt,HUOBI,2020-10-10 00:00:00,5.3831,5.6659,5.05,5.2335,2524917.9811906824,0.0
valueusdt,HUOBI,2020-10-11 00:00:00,5.2317,5.5399,5.0549,5.2754,1521217.5486531644,0.0
valueusdt,HUOBI,2020-10-12 00:00:00,5.2725,5.5089,4.8339,5.066,1451953.4617264627,0.0
valueusdt,HUOBI,2020-10-13 00:00:00,5.0708,5.17,4.4,4.5655,1273213.2552842998,0.0
valueusdt,HUOBI,2020-10-14 00:00:00,4.5654,4.6382,4.2234,4.2595,720374.6934153031,0.0
