symbol,exchange,datetime,open,high,low,close,volume,open_interest
vsysusdt,HUOBI,2019-07-31 00:00:00,0.0923,0.3179,0.0923,0.2453,7295266.232488788,0.0
vsysusdt,HUOBI,2019-08-01 00:00:00,0.2453,0.268,0.2168,0.2371,2977081.4520077803,0.0
vsysusdt,HUOBI,2019-08-02 00:00:00,0.2369,0.2562,0.2161,0.2216,1849407.2149701796,0.0
vsysusdt,HUOBI,2019-08-03 00:00:00,0.2216,0.23,0.2173,0.2219,589620.4209153409,0.0
vsysusdt,HUOBI,2019-08-04 00:00:00,0.2223,0.228,0.2133,0.2222,678587.19166099,0.0
vsysusdt,HUOBI,2019-08-05 00:00:00,0.2228,0.234,0.2185,0.2234,748955.00899857,0.0
vsysusdt,HUOBI,2019-08-06 00:00:00,0.2234,0.2257,0.2145,0.2189,674438.822497,0.0
vsysusdt,HUOBI,2019-08-07 00:00:00,0.219,0.2226,0.206,0.207,470522.89947108,0.0
vsysusdt,HUOBI,2019-08-08 00:00:00,0.207,0.255,0.206,0.2293,1873219.1048240978,0.0
vsysusdt,HUOBI,2019-08-09 00:00:00,0.2295,0.2395,0.222,0.2228,831538.0197085664,0.0
vsysusdt,HUOBI,2019-08-10 00:00:00,0.2232,0.2317,0.2159,0.2309,642675.81551376,0.0
vsysusdt,HUOBI,2019-08-11 00:00:00,0.2311,0.2315,0.2226,0.2237,336432.535988,0.0
vsysusdt,HUOBI,2019-08-12 00:00:00,0.2241,0.228,0.2213,0.2249,404369.5961725276,0.0
vsysusdt,HUOBI,2019-08-13 00:00:00,0.2249,0.2259,0.2193,0.2206,968055.06209757,0.0
vsysusdt,HUOBI,2019-08-14 00:00:00,0.2207,0.2221,0.2066,0.2107,691309.8209445714,0.0
vsysusdt,HUOBI,2019-08-15 00:00:00,0.2109,0.2121,0.1891,0.2024,1400517.93908655,0.0
vsysusdt,HUOBI,2019-08-16 00:00:00,0.2023,0.2122,0.2011,0.2041,946047.42906336,0.0
vsysusdt,HUOBI,2019-08-17 00:00:00,0.2042,0.2087,0.2016,0.2029,737270.2073493687,0.0
vsysusdt,HUOBI,2019-08-18 00:00:00,0.2029,0.2079,0.1953,0.1992,702481.4319166264,0.0
vsysusdt,HUOBI,2019-08-19 00:00:00,0.1993,0.2059,0.1953,0.2004,821012.175557325,0.0
vsysusdt,HUOBI,2019-08-20 00:00:00,0.2003,0.2007,0.1905,0.196,850856.7262,0.0
vsysusdt,HUOBI,2019-08-21 00:00:00,0.196,0.1996,0.188,0.1882,723957.6276762191,0.0
vsysusdt,HUOBI,2019-08-22 00:00:00,0.1882,0.1911,0.1753,0.1831,1029460.4604947874,0.0
vsysusdt,HUOBI,2019-08-23 00:00:00,0.1831,0.1978,0.1796,0.1909,793428.8033616954,0.0
vsysusdt,HUOBI,2019-08-24 00:00:00,0.1909,0.1926,0.1833,0.1886,465515.34066398,0.0
vsysusdt,HUOBI,2019-08-25 00:00:00,0.1883,0.1908,0.1822,0.1849,277319.0325634,0.0
vsysusdt,HUOBI,2019-08-26 00:00:00,0.1848,0.1904,0.1813,0.1901,297542.5284425,0.0
vsysusdt,HUOBI,2019-08-27 00:00:00,0.1904,0.2042,0.1838,0.1877,692387.7497754106,0.0
vsysusdt,HUOBI,2019-08-28 00:00:00,0.1876,0.1899,0.1811,0.1822,209302.76238057,0.0
vsysusdt,HUOBI,2019-08-29 00:00:00,0.1822,0.1831,0.1522,0.1591,453094.09430628,0.0
vsysusdt,HUOBI,2019-08-30 00:00:00,0.1592,0.1637,0.1536,0.1588,251234.01203962354,0.0
vsysusdt,HUOBI,2019-08-31 00:00:00,0.1587,0.1594,0.1399,0.1453,376614.18373992,0.0
