symbol,exchange,datetime,open,high,low,close,volume,open_interest
wavesusdt,HUOBI,2018-12-18 00:00:00,2.146,3.2,2.146,3.04,764608.0565721163,0.0
wavesusdt,HUOBI,2018-12-19 00:00:00,3.04,4.5568,3.0168,4.0801,3039138.997697931,0.0
wavesusdt,HUOBI,2018-12-20 00:00:00,4.09,4.4498,3.4487,3.8871,3121312.905923196,0.0
wavesusdt,HUOBI,2018-12-21 00:00:00,3.8873,4.1998,3.45,3.4923,1428547.21690657,0.0
wavesusdt,HUOBI,2018-12-22 00:00:00,3.481,4.0875,3.043,3.7234,2039590.7245992634,0.0
wavesusdt,HUOBI,2018-12-23 00:00:00,3.7595,4.061,3.5411,3.6712,1676064.90004217,0.0
wavesusdt,HUOBI,2018-12-24 00:00:00,3.6711,3.979,3.6272,3.6941,975268.19501025,0.0
wavesusdt,HUOBI,2018-12-25 00:00:00,3.6892,3.85,3.0922,3.3917,425234.5200058525,0.0
wavesusdt,HUOBI,2018-12-26 00:00:00,3.4038,3.5799,3.0807,3.39,865222.13215672,0.0
wavesusdt,HUOBI,2018-12-27 00:00:00,3.3835,3.3835,3.1205,3.1778,409640.07365442,0.0
wavesusdt,HUOBI,2018-12-28 00:00:00,3.1868,3.1868,2.8993,3.05,330381.89998462,0.0
wavesusdt,HUOBI,2018-12-29 00:00:00,3.05,3.2447,3.0451,3.1579,247779.24130061,0.0
wavesusdt,HUOBI,2018-12-30 00:00:00,3.1581,3.1594,2.8929,3.0431,277825.18631,0.0
wavesusdt,HUOBI,2018-12-31 00:00:00,3.0388,3.096,2.9287,3.0748,187231.027697,0.0
wavesusdt,HUOBI,2019-01-01 00:00:00,3.0762,3.3,2.9129,3.0078,443285.1236265136,0.0
wavesusdt,HUOBI,2019-01-02 00:00:00,3.0078,3.1579,2.9846,3.0266,256119.15118,0.0
wavesusdt,HUOBI,2019-01-03 00:00:00,3.0267,3.1366,3.0146,3.0585,191309.540671,0.0
wavesusdt,HUOBI,2019-01-04 00:00:00,3.0586,3.095,2.95,3.0008,252841.823624,0.0
wavesusdt,HUOBI,2019-01-05 00:00:00,2.9868,3.09,2.951,2.9721,302590.5986322,0.0
wavesusdt,HUOBI,2019-01-06 00:00:00,2.9722,3.0537,2.9573,3.0272,175731.320927,0.0
wavesusdt,HUOBI,2019-01-07 00:00:00,3.0272,3.1741,2.9601,2.9602,325432.19329338,0.0
wavesusdt,HUOBI,2019-01-08 00:00:00,2.9601,3.0139,2.8111,2.9373,263177.16842331,0.0
wavesusdt,HUOBI,2019-01-09 00:00:00,2.9347,2.9449,2.8188,2.8458,341212.69948139985,0.0
wavesusdt,HUOBI,2019-01-10 00:00:00,2.8484,2.8766,2.5906,2.7263,240643.1768082614,0.0
wavesusdt,HUOBI,2019-01-11 00:00:00,2.7373,2.7619,2.5001,2.5937,165242.13424346503,0.0
wavesusdt,HUOBI,2019-01-12 00:00:00,2.5939,2.6244,2.4825,2.511,175636.74570763,0.0
wavesusdt,HUOBI,2019-01-13 00:00:00,2.51,2.6078,2.4841,2.5265,233721.024189,0.0
wavesusdt,HUOBI,2019-01-14 00:00:00,2.5268,2.8199,2.301,2.7464,682187.7100012526,0.0
wavesusdt,HUOBI,2019-01-15 00:00:00,2.7464,2.7566,2.58,2.5879,302834.72954982,0.0
wavesusdt,HUOBI,2019-01-16 00:00:00,2.6001,2.663,2.499,2.5491,248888.76710103,0.0
wavesusdt,HUOBI,2019-01-17 00:00:00,2.5486,2.6499,2.5105,2.5741,247881.4901530451,0.0
