symbol,exchange,datetime,open,high,low,close,volume,open_interest
waxpusdt,HUOBI,2020-07-20 00:00:00,0.042826,0.067332,0.042826,0.05591,2961583.08342648,0.0
waxpusdt,HUOBI,2020-07-21 00:00:00,0.0559,0.05875,0.05,0.053923,640117.11052701,0.0
waxpusdt,HUOBI,2020-07-22 00:00:00,0.053923,0.055698,0.053273,0.054395,150795.47507135,0.0
waxpusdt,HUOBI,2020-07-23 00:00:00,0.054385,0.055338,0.053657,0.05453,121408.91106325,0.0
waxpusdt,HUOBI,2020-07-24 00:00:00,0.054594,0.054765,0.053267,0.053916,115182.31820576,0.0
waxpusdt,HUOBI,2020-07-25 00:00:00,0.053705,0.054397,0.053443,0.054041,57823.836375,0.0
waxpusdt,HUOBI,2020-07-26 00:00:00,0.054056,0.0545,0.051133,0.052351,67105.20045831,0.0
waxpusdt,HUOBI,2020-07-27 00:00:00,0.052,0.053026,0.047982,0.048861,108392.2981095,0.0
waxpusdt,HUOBI,2020-07-28 00:00:00,0.048968,0.050628,0.048608,0.050257,66235.46123087,0.0
waxpusdt,HUOBI,2020-07-29 00:00:00,0.050238,0.053519,0.049601,0.052413,72829.92505301,0.0
waxpusdt,HUOBI,2020-07-30 00:00:00,0.052423,0.0535,0.049968,0.050767,45333.14553687,0.0
waxpusdt,HUOBI,2020-07-31 00:00:00,0.050985,0.051988,0.050243,0.05125,51421.39887605,0.0
waxpusdt,HUOBI,2020-08-01 00:00:00,0.051282,0.051883,0.050392,0.050857,55952.85176579,0.0
waxpusdt,HUOBI,2020-08-02 00:00:00,0.050781,0.051361,0.04689,0.048855,73254.71194788,0.0
waxpusdt,HUOBI,2020-08-03 00:00:00,0.049274,0.050715,0.046889,0.049341,60229.60915454,0.0
waxpusdt,HUOBI,2020-08-04 00:00:00,0.049972,0.051237,0.048055,0.048481,43974.06119723,0.0
waxpusdt,HUOBI,2020-08-05 00:00:00,0.048549,0.049487,0.047995,0.048687,33226.71182273,0.0
waxpusdt,HUOBI,2020-08-06 00:00:00,0.048561,0.049451,0.047732,0.048984,45802.7395544,0.0
waxpusdt,HUOBI,2020-08-07 00:00:00,0.049266,0.050707,0.048698,0.049115,44814.14887211,0.0
waxpusdt,HUOBI,2020-08-08 00:00:00,0.049064,0.050989,0.04738,0.050989,83671.92364662,0.0
waxpusdt,HUOBI,2020-08-09 00:00:00,0.05099,0.055501,0.050083,0.05245,184041.56722034,0.0
waxpusdt,HUOBI,2020-08-10 00:00:00,0.0527,0.053735,0.050938,0.053394,184297.03002721,0.0
waxpusdt,HUOBI,2020-08-11 00:00:00,0.053478,0.056843,0.051093,0.051774,166278.58175298,0.0
waxpusdt,HUOBI,2020-08-12 00:00:00,0.051892,0.052548,0.05,0.052037,55158.38047146,0.0
waxpusdt,HUOBI,2020-08-13 00:00:00,0.052084,0.052722,0.050001,0.051376,68807.46221044,0.0
waxpusdt,HUOBI,2020-08-14 00:00:00,0.051308,0.053032,0.050899,0.052772,55995.69919982,0.0
waxpusdt,HUOBI,2020-08-15 00:00:00,0.05242,0.053109,0.051473,0.05245,43315.00968513,0.0
waxpusdt,HUOBI,2020-08-16 00:00:00,0.052476,0.053054,0.051373,0.052558,56247.52965745,0.0
waxpusdt,HUOBI,2020-08-17 00:00:00,0.05251,0.056621,0.052248,0.055137,98499.84989201615,0.0
