symbol,exchange,datetime,open,high,low,close,volume,open_interest
wbtcusdt,HUOBI,2021-05-10 00:00:00,55897.59,74137.84,50000.0,57725.73,7996011.225268234,0.0
wbtcusdt,HUOBI,2021-05-11 00:00:00,57726.23,58468.55,53691.7,56043.38,533937.78733701,0.0
wbtcusdt,HUOBI,2021-05-12 00:00:00,56054.22,58498.66,55163.67,56218.75,220017.80861748,0.0
wbtcusdt,HUOBI,2021-05-13 00:00:00,55142.96,56218.09,46242.63,49783.24,115630.98376888,0.0
wbtcusdt,HUOBI,2021-05-14 00:00:00,49769.15,56000.0,47226.78,52258.86,146065.93723258,0.0
wbtcusdt,HUOBI,2021-05-15 00:00:00,52258.86,54298.59,45003.0,49928.58,192546.75543555,0.0
wbtcusdt,HUOBI,2021-05-16 00:00:00,49926.73,49999.92,46339.06,48530.47,69911.67022855,0.0
wbtcusdt,HUOBI,2021-05-17 00:00:00,47451.0,48535.28,42041.55,43743.02,131156.17103736,0.0
wbtcusdt,HUOBI,2021-05-18 00:00:00,43444.61,48000.0,42051.4,44237.63,85904.17808971,0.0
wbtcusdt,HUOBI,2021-05-19 00:00:00,43514.56,48000.0,28602.24,37316.64,3017176.13264367,0.0
wbtcusdt,HUOBI,2021-05-20 00:00:00,37225.48,42525.35,34649.86,41463.9,2195419.68034233,0.0
wbtcusdt,HUOBI,2021-05-21 00:00:00,41375.2,42227.79,36514.35,37368.75,553262.37215979,0.0
wbtcusdt,HUOBI,2021-05-22 00:00:00,36616.48,38901.11,33461.97,38211.34,290744.107862,0.0
wbtcusdt,HUOBI,2021-05-23 00:00:00,38189.03,38571.83,32696.06,33467.16,431466.23595,0.0
wbtcusdt,HUOBI,2021-05-24 00:00:00,32975.0,38657.57,30905.29,37618.86,1424579.13441655,0.0
wbtcusdt,HUOBI,2021-05-25 00:00:00,37670.08,39953.23,36406.77,38119.41,279588.9608557,0.0
wbtcusdt,HUOBI,2021-05-26 00:00:00,38292.25,40875.08,37190.39,38759.88,291738.5717169,0.0
wbtcusdt,HUOBI,2021-05-27 00:00:00,38756.78,41407.76,37196.44,39660.66,388817.76799378,0.0
wbtcusdt,HUOBI,2021-05-28 00:00:00,39691.88,39691.88,35063.78,36591.36,221129.64725728,0.0
wbtcusdt,HUOBI,2021-05-29 00:00:00,36591.43,38569.92,33893.38,34433.06,345273.572789,0.0
wbtcusdt,HUOBI,2021-05-30 00:00:00,34247.57,36410.67,33365.52,35533.68,314783.99333935,0.0
wbtcusdt,HUOBI,2021-05-31 00:00:00,35650.94,37241.43,34170.86,37011.03,392541.73207588,0.0
wbtcusdt,HUOBI,2021-06-01 00:00:00,37030.35,37880.07,35725.98,36216.66,226379.69728832,0.0
wbtcusdt,HUOBI,2021-06-02 00:00:00,36203.32,38210.47,35760.42,38053.16,313772.09229091,0.0
wbtcusdt,HUOBI,2021-06-03 00:00:00,38093.72,39561.05,37185.67,38557.9,338047.38047946,0.0
wbtcusdt,HUOBI,2021-06-04 00:00:00,38590.93,39224.37,35682.22,36949.11,411359.59974,0.0
wbtcusdt,HUOBI,2021-06-05 00:00:00,36762.78,37882.28,35611.28,36368.89,223014.17476277,0.0
wbtcusdt,HUOBI,2021-06-06 00:00:00,36235.82,36415.45,34880.29,36232.45,462885.410434,0.0
wbtcusdt,HUOBI,2021-06-07 00:00:00,36234.22,36799.96,35312.46,36102.33,376236.610003,0.0
wbtcusdt,HUOBI,2021-06-08 00:00:00,36042.05,36133.62,31078.23,31714.77,216646.987041,0.0
wbtcusdt,HUOBI,2021-06-09 00:00:00,31696.39,36627.88,31695.01,36446.46,177573.150099,0.0
wbtcusdt,HUOBI,2021-06-10 00:00:00,36430.99,38401.95,35696.66,36955.37,361380.82754758,0.0
