symbol,exchange,datetime,open,high,low,close,volume,open_interest
wiccusdt,HUOBI,2018-05-31 00:00:00,1.9891,2.4,1.9891,2.1001,6078997.843637695,0.0
wiccusdt,HUOBI,2018-06-01 00:00:00,2.1002,2.1039,1.8577,1.9079,11077455.38588112,0.0
wiccusdt,HUOBI,2018-06-02 00:00:00,1.9098,1.998,1.81,1.8412,9348969.960852772,0.0
wiccusdt,HUOBI,2018-06-03 00:00:00,1.8412,1.93,1.7103,1.85,12767649.308013743,0.0
wiccusdt,HUOBI,2018-06-04 00:00:00,1.8519,1.8581,1.6904,1.7307,7159741.936754003,0.0
wiccusdt,HUOBI,2018-06-05 00:00:00,1.7322,1.88,1.7005,1.839,16831591.77746394,0.0
wiccusdt,HUOBI,2018-06-06 00:00:00,1.8334,2.0214,1.8027,2.003,43467600.654006146,0.0
wiccusdt,HUOBI,2018-06-07 00:00:00,2.0031,2.089,1.8633,1.8943,35565413.90917106,0.0
wiccusdt,HUOBI,2018-06-08 00:00:00,1.8944,1.9261,1.7,1.8067,5688174.698312487,0.0
wiccusdt,HUOBI,2018-06-09 00:00:00,1.8068,1.85,1.7088,1.7388,3057090.838453488,0.0
wiccusdt,HUOBI,2018-06-10 00:00:00,1.7356,1.7479,1.4949,1.5021,4765068.452668433,0.0
wiccusdt,HUOBI,2018-06-11 00:00:00,1.5021,1.5022,0.9211,1.133,16615117.047984648,0.0
wiccusdt,HUOBI,2018-06-12 00:00:00,1.133,1.3589,1.133,1.2249,8867417.868900249,0.0
wiccusdt,HUOBI,2018-06-13 00:00:00,1.2249,1.225,0.9949,1.002,6563328.03639257,0.0
wiccusdt,HUOBI,2018-06-14 00:00:00,1.002,1.1,0.915,0.9787,13095034.619017005,0.0
wiccusdt,HUOBI,2018-06-15 00:00:00,0.9787,1.06,0.8321,0.896,15134288.297798995,0.0
wiccusdt,HUOBI,2018-06-16 00:00:00,0.8955,0.92,0.713,0.7967,11903350.163118584,0.0
wiccusdt,HUOBI,2018-06-17 00:00:00,0.7986,0.875,0.7615,0.808,5864681.115217733,0.0
wiccusdt,HUOBI,2018-06-18 00:00:00,0.8089,0.8487,0.76,0.777,2773134.7247821447,0.0
wiccusdt,HUOBI,2018-06-19 00:00:00,0.7769,0.79,0.6523,0.7706,7600134.927797397,0.0
wiccusdt,HUOBI,2018-06-20 00:00:00,0.777,0.7776,0.6955,0.72,3329608.0978976036,0.0
wiccusdt,HUOBI,2018-06-21 00:00:00,0.718,0.7181,0.543,0.5796,8622814.241157405,0.0
wiccusdt,HUOBI,2018-06-22 00:00:00,0.5795,0.6399,0.416,0.46,9019626.113888396,0.0
wiccusdt,HUOBI,2018-06-23 00:00:00,0.4605,0.476,0.364,0.4207,4552647.174760469,0.0
wiccusdt,HUOBI,2018-06-24 00:00:00,0.4213,0.5646,0.341,0.54,15113343.59135652,0.0
wiccusdt,HUOBI,2018-06-25 00:00:00,0.54,0.682,0.5101,0.67,16143716.892498894,0.0
wiccusdt,HUOBI,2018-06-26 00:00:00,0.67,0.7022,0.5601,0.612,7041490.121743744,0.0
wiccusdt,HUOBI,2018-06-27 00:00:00,0.6127,0.6134,0.516,0.5635,4760266.827222861,0.0
wiccusdt,HUOBI,2018-06-28 00:00:00,0.5635,0.62,0.5265,0.5737,3410822.818376568,0.0
wiccusdt,HUOBI,2018-06-29 00:00:00,0.5725,0.6048,0.52,0.5499,2431036.2699549263,0.0
wiccusdt,HUOBI,2018-06-30 00:00:00,0.5511,0.5998,0.5405,0.5845,2855402.7429490467,0.0
wiccusdt,HUOBI,2018-07-01 00:00:00,0.5856,0.642,0.5653,0.6066,3881428.0161438934,0.0
wiccusdt,HUOBI,2018-07-02 00:00:00,0.6066,0.6289,0.575,0.625,2997105.6101411525,0.0
wiccusdt,HUOBI,2018-07-03 00:00:00,0.625,0.6656,0.5912,0.6274,4223609.901228958,0.0
wiccusdt,HUOBI,2018-07-04 00:00:00,0.6273,0.6317,0.5804,0.5957,2798557.2624911275,0.0
wiccusdt,HUOBI,2018-07-05 00:00:00,0.5955,0.6042,0.5258,0.5354,2934604.189612846,0.0
wiccusdt,HUOBI,2018-07-06 00:00:00,0.5353,0.58,0.4306,0.5243,5960899.4579711985,0.0
