symbol,exchange,datetime,open,high,low,close,volume,open_interest
woousdt,HUOBI,2020-10-30 00:00:00,0.02,0.12,0.02,0.05798,15038655.234932693,0.0
woousdt,HUOBI,2020-10-31 00:00:00,0.05806,0.0615,0.04752,0.04857,2625450.2979872595,0.0
woousdt,HUOBI,2020-11-01 00:00:00,0.04857,0.04868,0.03608,0.03957,2355251.058633631,0.0
woousdt,HUOBI,2020-11-02 00:00:00,0.03927,0.03957,0.02959,0.03479,1972278.9806864467,0.0
woousdt,HUOBI,2020-11-03 00:00:00,0.03482,0.03894,0.0307,0.03193,1854346.4168052597,0.0
woousdt,HUOBI,2020-11-04 00:00:00,0.03195,0.03266,0.02981,0.03189,610561.9721932787,0.0
woousdt,HUOBI,2020-11-05 00:00:00,0.03156,0.03599,0.03,0.0326,952188.4241732393,0.0
woousdt,HUOBI,2020-11-06 00:00:00,0.0326,0.035,0.0293,0.03343,1194850.093216089,0.0
woousdt,HUOBI,2020-11-07 00:00:00,0.03346,0.03826,0.0305,0.03413,1238106.2155327692,0.0
woousdt,HUOBI,2020-11-08 00:00:00,0.03414,0.03653,0.0327,0.03512,466667.3302935727,0.0
woousdt,HUOBI,2020-11-09 00:00:00,0.03512,0.0373,0.03303,0.03401,697498.6408672228,0.0
woousdt,HUOBI,2020-11-10 00:00:00,0.03401,0.037,0.0333,0.03513,873771.2441147123,0.0
woousdt,HUOBI,2020-11-11 00:00:00,0.03513,0.03595,0.032,0.03239,861705.9598484,0.0
woousdt,HUOBI,2020-11-12 00:00:00,0.0324,0.03396,0.03057,0.03063,637532.3032426992,0.0
woousdt,HUOBI,2020-11-13 00:00:00,0.03063,0.03219,0.02976,0.03188,500763.9446753078,0.0
woousdt,HUOBI,2020-11-14 00:00:00,0.03188,0.0345,0.03133,0.03351,608457.422190635,0.0
woousdt,HUOBI,2020-11-15 00:00:00,0.0335,0.03482,0.03278,0.03379,575912.2020423616,0.0
woousdt,HUOBI,2020-11-16 00:00:00,0.03379,0.05,0.03238,0.04379,2279239.02848968,0.0
woousdt,HUOBI,2020-11-17 00:00:00,0.04388,0.0456,0.03536,0.03644,1621579.5749133273,0.0
woousdt,HUOBI,2020-11-18 00:00:00,0.03644,0.03644,0.03056,0.03143,1059798.6561613474,0.0
woousdt,HUOBI,2020-11-19 00:00:00,0.03146,0.0342,0.03135,0.03256,685270.8831807772,0.0
woousdt,HUOBI,2020-11-20 00:00:00,0.03252,0.03388,0.03196,0.03348,422956.69253533887,0.0
woousdt,HUOBI,2020-11-21 00:00:00,0.03346,0.0366,0.0329,0.03559,630002.2328906114,0.0
woousdt,HUOBI,2020-11-22 00:00:00,0.03562,0.03564,0.03291,0.03481,593730.78621424,0.0
woousdt,HUOBI,2020-11-23 00:00:00,0.03486,0.04758,0.03337,0.0456,2132161.784009407,0.0
woousdt,HUOBI,2020-11-24 00:00:00,0.04562,0.04562,0.03871,0.04229,1735453.0001015745,0.0
woousdt,HUOBI,2020-11-25 00:00:00,0.04219,0.044,0.04021,0.04261,690252.197448696,0.0
woousdt,HUOBI,2020-11-26 00:00:00,0.04264,0.043,0.03681,0.03841,777673.1087570678,0.0
woousdt,HUOBI,2020-11-27 00:00:00,0.03844,0.0479,0.03839,0.03957,1113540.269589938,0.0
woousdt,HUOBI,2020-11-28 00:00:00,0.04015,0.04277,0.039,0.04135,445249.47143256187,0.0
woousdt,HUOBI,2020-11-29 00:00:00,0.0414,0.04183,0.03936,0.04031,419112.7295248206,0.0
woousdt,HUOBI,2020-11-30 00:00:00,0.04039,0.0435,0.03299,0.03496,778022.9571763014,0.0
woousdt,HUOBI,2020-12-01 00:00:00,0.03498,0.03738,0.03301,0.03441,1232323.8291769996,0.0
woousdt,HUOBI,2020-12-02 00:00:00,0.0344,0.03581,0.03222,0.03313,848581.433818219,0.0
woousdt,HUOBI,2020-12-03 00:00:00,0.03318,0.03483,0.03236,0.03462,580993.21632379,0.0
woousdt,HUOBI,2020-12-04 00:00:00,0.0346,0.0361,0.033,0.03374,715372.5758653444,0.0
woousdt,HUOBI,2020-12-05 00:00:00,0.03385,0.03579,0.03261,0.0348,478487.02611887443,0.0
woousdt,HUOBI,2020-12-06 00:00:00,0.03479,0.0364,0.03392,0.03425,438246.43293272896,0.0
woousdt,HUOBI,2020-12-07 00:00:00,0.03426,0.036,0.03421,0.03474,318128.61492912,0.0
woousdt,HUOBI,2020-12-08 00:00:00,0.03476,0.03634,0.03419,0.03528,407127.4080894175,0.0
woousdt,HUOBI,2020-12-09 00:00:00,0.03521,0.03597,0.03252,0.0345,457114.19940608,0.0
woousdt,HUOBI,2020-12-10 00:00:00,0.0345,0.0352,0.03163,0.0332,320511.26581041,0.0
woousdt,HUOBI,2020-12-11 00:00:00,0.03324,0.035,0.03216,0.03293,345228.5349098997,0.0
woousdt,HUOBI,2020-12-12 00:00:00,0.03292,0.034,0.0324,0.03337,195387.35237674,0.0
woousdt,HUOBI,2020-12-13 00:00:00,0.03334,0.03468,0.03246,0.03366,233946.80162032144,0.0
woousdt,HUOBI,2020-12-14 00:00:00,0.03366,0.03416,0.033,0.03386,248795.68113719,0.0
woousdt,HUOBI,2020-12-15 00:00:00,0.034,0.0343,0.03326,0.03374,170050.32959286,0.0
woousdt,HUOBI,2020-12-16 00:00:00,0.03375,0.03626,0.03341,0.03425,343918.82426323096,0.0
woousdt,HUOBI,2020-12-17 00:00:00,0.03426,0.0359,0.03406,0.03522,345131.12926420424,0.0
woousdt,HUOBI,2020-12-18 00:00:00,0.03519,0.03523,0.03259,0.0344,330815.06735419034,0.0
woousdt,HUOBI,2020-12-19 00:00:00,0.03437,0.0356,0.03166,0.03415,266915.96467183577,0.0
woousdt,HUOBI,2020-12-20 00:00:00,0.03415,0.03427,0.03292,0.03308,190358.8645989263,0.0
woousdt,HUOBI,2020-12-21 00:00:00,0.03307,0.03365,0.03041,0.03193,399435.23575177,0.0
woousdt,HUOBI,2020-12-22 00:00:00,0.03183,0.03526,0.03024,0.03255,410284.9577231009,0.0
woousdt,HUOBI,2020-12-23 00:00:00,0.03249,0.03325,0.03,0.03108,393021.02651511,0.0
woousdt,HUOBI,2020-12-24 00:00:00,0.03109,0.032,0.026,0.0304,700343.2153055286,0.0
woousdt,HUOBI,2020-12-25 00:00:00,0.0306,0.03141,0.03012,0.03068,131518.8355038585,0.0
woousdt,HUOBI,2020-12-26 00:00:00,0.03069,0.031,0.03016,0.03045,143888.76700554,0.0
woousdt,HUOBI,2020-12-27 00:00:00,0.03045,0.03133,0.02772,0.03003,223184.77386019,0.0
woousdt,HUOBI,2020-12-28 00:00:00,0.03008,0.03089,0.02871,0.02998,174170.21992731,0.0
woousdt,HUOBI,2020-12-29 00:00:00,0.03009,0.0302,0.02756,0.02815,317252.9221582717,0.0
woousdt,HUOBI,2020-12-30 00:00:00,0.0281,0.0315,0.02782,0.02951,333746.18431465427,0.0
woousdt,HUOBI,2020-12-31 00:00:00,0.02953,0.0296,0.0248,0.02503,316006.957579,0.0
woousdt,HUOBI,2021-01-01 00:00:00,0.02503,0.02627,0.02439,0.02506,238217.10148791166,0.0
woousdt,HUOBI,2021-01-02 00:00:00,0.02497,0.02538,0.02439,0.02481,123030.77135315,0.0
woousdt,HUOBI,2021-01-03 00:00:00,0.02483,0.02504,0.02295,0.02333,206872.6172576,0.0
woousdt,HUOBI,2021-01-04 00:00:00,0.02335,0.0245,0.02201,0.02256,254056.57027819735,0.0
woousdt,HUOBI,2021-01-05 00:00:00,0.02255,0.02432,0.022,0.02419,196006.34146962,0.0
woousdt,HUOBI,2021-01-06 00:00:00,0.02419,0.02536,0.023,0.0251,217227.31925108275,0.0
woousdt,HUOBI,2021-01-07 00:00:00,0.02508,0.0268,0.0238,0.02563,255194.10571626778,0.0
woousdt,HUOBI,2021-01-08 00:00:00,0.02564,0.02621,0.02301,0.02412,292117.68258151,0.0
woousdt,HUOBI,2021-01-09 00:00:00,0.02412,0.02606,0.02412,0.02527,130260.57338875104,0.0
woousdt,HUOBI,2021-01-10 00:00:00,0.02527,0.02713,0.0245,0.02701,262546.51610324776,0.0
woousdt,HUOBI,2021-01-11 00:00:00,0.02702,0.02809,0.02402,0.02479,260084.48131131896,0.0
woousdt,HUOBI,2021-01-12 00:00:00,0.02471,0.02809,0.02467,0.02554,254781.5775147838,0.0
woousdt,HUOBI,2021-01-13 00:00:00,0.02553,0.02782,0.025,0.02597,186041.00524306725,0.0
woousdt,HUOBI,2021-01-14 00:00:00,0.02596,0.0278,0.02573,0.02674,135627.5571899,0.0
woousdt,HUOBI,2021-01-15 00:00:00,0.02674,0.02705,0.0243,0.02494,166041.44550829,0.0
woousdt,HUOBI,2021-01-16 00:00:00,0.02484,0.02617,0.0245,0.02587,387263.45691694,0.0
woousdt,HUOBI,2021-01-17 00:00:00,0.02603,0.02852,0.02511,0.02709,233544.93536242927,0.0
woousdt,HUOBI,2021-01-18 00:00:00,0.02711,0.033,0.027,0.03134,459921.40339364466,0.0
woousdt,HUOBI,2021-01-19 00:00:00,0.03134,0.03149,0.02833,0.03075,300388.29271360737,0.0
woousdt,HUOBI,2021-01-20 00:00:00,0.03071,0.03114,0.0277,0.0277,167231.54826193865,0.0
woousdt,HUOBI,2021-01-21 00:00:00,0.02775,0.02946,0.02556,0.02619,229893.24729857,0.0
woousdt,HUOBI,2021-01-22 00:00:00,0.02618,0.0266,0.0232,0.02517,254161.42400201,0.0
woousdt,HUOBI,2021-01-23 00:00:00,0.02516,0.0265,0.02459,0.02563,123616.81381507,0.0
woousdt,HUOBI,2021-01-24 00:00:00,0.02562,0.02886,0.025,0.02597,197513.06350969474,0.0
woousdt,HUOBI,2021-01-25 00:00:00,0.02586,0.03,0.025,0.02908,326583.2562851727,0.0
woousdt,HUOBI,2021-01-26 00:00:00,0.02901,0.03255,0.02673,0.03001,500495.6459999142,0.0
woousdt,HUOBI,2021-01-27 00:00:00,0.02989,0.0315,0.02765,0.02899,246675.2168957671,0.0
woousdt,HUOBI,2021-01-28 00:00:00,0.02909,0.03148,0.02899,0.03032,282856.04155806,0.0
woousdt,HUOBI,2021-01-29 00:00:00,0.03048,0.03202,0.02901,0.02909,313756.1477800674,0.0
woousdt,HUOBI,2021-01-30 00:00:00,0.0291,0.03063,0.028,0.02895,175494.15827406963,0.0
woousdt,HUOBI,2021-01-31 00:00:00,0.02896,0.03052,0.0278,0.02804,261917.84687416017,0.0
woousdt,HUOBI,2021-02-01 00:00:00,0.02802,0.03072,0.0273,0.0282,326222.80513488,0.0
woousdt,HUOBI,2021-02-02 00:00:00,0.02834,0.031,0.02818,0.0302,207422.1289673599,0.0
woousdt,HUOBI,2021-02-03 00:00:00,0.03022,0.0347,0.03,0.03461,463834.8946157785,0.0
woousdt,HUOBI,2021-02-04 00:00:00,0.03463,0.04376,0.03356,0.03721,1423923.909449009,0.0
woousdt,HUOBI,2021-02-05 00:00:00,0.03716,0.04188,0.03526,0.04001,963208.1046313108,0.0
woousdt,HUOBI,2021-02-06 00:00:00,0.04,0.04294,0.03664,0.04205,516195.1662097603,0.0
woousdt,HUOBI,2021-02-07 00:00:00,0.04208,0.06,0.03977,0.04756,3451058.2068446307,0.0
woousdt,HUOBI,2021-02-08 00:00:00,0.04762,0.06591,0.044,0.05832,3428250.3808162343,0.0
woousdt,HUOBI,2021-02-09 00:00:00,0.05832,0.066,0.05001,0.05647,1819243.5084744291,0.0
woousdt,HUOBI,2021-02-10 00:00:00,0.05645,0.0581,0.05034,0.05251,1145257.01016449,0.0
woousdt,HUOBI,2021-02-11 00:00:00,0.05253,0.0557,0.05006,0.055,657766.9280348617,0.0
woousdt,HUOBI,2021-02-12 00:00:00,0.05498,0.06155,0.05401,0.06073,748211.8305915617,0.0
woousdt,HUOBI,2021-02-13 00:00:00,0.06034,0.0708,0.05854,0.0648,1196373.3358706057,0.0
