symbol,exchange,datetime,open,high,low,close,volume,open_interest
wtcusdt,HUOBI,2019-05-30 00:00:00,2.2041,3.5999,2.2041,2.6451,4384786.761188827,0.0
wtcusdt,HUOBI,2019-05-31 00:00:00,2.6742,2.888,2.2496,2.283,2481814.306001325,0.0
wtcusdt,HUOBI,2019-06-01 00:00:00,2.2944,2.4,2.2325,2.3,1273109.3893678717,0.0
wtcusdt,HUOBI,2019-06-02 00:00:00,2.2857,2.2998,2.205,2.2321,1052180.898971597,0.0
wtcusdt,HUOBI,2019-06-03 00:00:00,2.2321,2.4221,2.0934,2.1515,1539687.8614966634,0.0
wtcusdt,HUOBI,2019-06-04 00:00:00,2.1515,2.284,1.9822,2.0757,7477558.23504407,0.0
wtcusdt,HUOBI,2019-06-05 00:00:00,2.0801,2.0904,1.7581,1.9317,485997.27022209,0.0
wtcusdt,HUOBI,2019-06-06 00:00:00,1.9304,2.0944,1.923,2.0064,596397.32733099,0.0
wtcusdt,HUOBI,2019-06-07 00:00:00,2.0064,2.1674,1.9562,2.115,340963.84840727,0.0
wtcusdt,HUOBI,2019-06-08 00:00:00,2.1133,2.1555,2.0495,2.104,307565.71097047,0.0
wtcusdt,HUOBI,2019-06-09 00:00:00,2.099,2.1498,2.04,2.0806,148388.14702673,0.0
wtcusdt,HUOBI,2019-06-10 00:00:00,2.08,2.2039,2.0001,2.1811,415266.28888744,0.0
wtcusdt,HUOBI,2019-06-11 00:00:00,2.1811,2.2275,2.1055,2.1815,201232.43536437,0.0
wtcusdt,HUOBI,2019-06-12 00:00:00,2.1821,2.2688,2.1454,2.2269,615087.49586537,0.0
wtcusdt,HUOBI,2019-06-13 00:00:00,2.2248,2.2341,2.09,2.1277,342432.8835561,0.0
wtcusdt,HUOBI,2019-06-14 00:00:00,2.1253,2.14,1.9303,1.9772,449676.9863396925,0.0
wtcusdt,HUOBI,2019-06-15 00:00:00,1.9727,2.01,1.88,1.9152,497366.80549658,0.0
wtcusdt,HUOBI,2019-06-16 00:00:00,1.9107,1.9648,1.8411,1.8899,520983.7768038327,0.0
wtcusdt,HUOBI,2019-06-17 00:00:00,1.8921,1.9085,1.8455,1.8544,392619.48972613,0.0
wtcusdt,HUOBI,2019-06-18 00:00:00,1.8539,1.8849,1.758,1.7849,474870.69115711,0.0
wtcusdt,HUOBI,2019-06-19 00:00:00,1.7847,1.8547,1.7713,1.8269,439594.9392509118,0.0
wtcusdt,HUOBI,2019-06-20 00:00:00,1.8269,1.8328,1.701,1.7083,412485.70809021,0.0
