symbol,exchange,datetime,open,high,low,close,volume,open_interest
wxtusdt,HUOBI,2019-08-21 00:00:00,0.011244,0.026,0.011244,0.023392,1230794.4718443444,0.0
wxtusdt,HUOBI,2019-08-22 00:00:00,0.023017,0.023811,0.018577,0.020531,828851.11173307,0.0
wxtusdt,HUOBI,2019-08-23 00:00:00,0.020532,0.021001,0.01935,0.020325,162978.25283097,0.0
wxtusdt,HUOBI,2019-08-24 00:00:00,0.020291,0.020875,0.0189,0.019947,81509.26208217,0.0
wxtusdt,HUOBI,2019-08-25 00:00:00,0.019941,0.0206,0.019095,0.019689,64009.84706805866,0.0
wxtusdt,HUOBI,2019-08-26 00:00:00,0.019695,0.0206,0.017169,0.019958,85094.4168846796,0.0
wxtusdt,HUOBI,2019-08-27 00:00:00,0.019954,0.02023,0.0193,0.019413,32676.16387483,0.0
wxtusdt,HUOBI,2019-08-28 00:00:00,0.019422,0.019872,0.018557,0.019734,33631.33173103,0.0
wxtusdt,HUOBI,2019-08-29 00:00:00,0.019728,0.01985,0.016517,0.017624,40941.65981111,0.0
wxtusdt,HUOBI,2019-08-30 00:00:00,0.017616,0.019782,0.016931,0.017151,48421.90746719965,0.0
wxtusdt,HUOBI,2019-08-31 00:00:00,0.017218,0.0183,0.016055,0.017377,32779.13774231,0.0
wxtusdt,HUOBI,2019-09-01 00:00:00,0.017395,0.018011,0.015505,0.016513,39041.716266631876,0.0
wxtusdt,HUOBI,2019-09-02 00:00:00,0.016467,0.0176,0.015,0.016181,67809.16178418713,0.0
wxtusdt,HUOBI,2019-09-03 00:00:00,0.016182,0.0206,0.01586,0.0175,242704.00016864087,0.0
wxtusdt,HUOBI,2019-09-04 00:00:00,0.017366,0.01808,0.016851,0.017026,53934.87737986052,0.0
wxtusdt,HUOBI,2019-09-05 00:00:00,0.017102,0.017366,0.0152,0.016796,32422.578898705142,0.0
wxtusdt,HUOBI,2019-09-06 00:00:00,0.016786,0.017046,0.016021,0.016299,26809.894795700166,0.0
wxtusdt,HUOBI,2019-09-07 00:00:00,0.016289,0.018997,0.015501,0.01666,76473.27455380843,0.0
wxtusdt,HUOBI,2019-09-08 00:00:00,0.016652,0.018,0.016102,0.017296,33797.662949824786,0.0
