symbol,exchange,datetime,open,high,low,close,volume,open_interest
xchusdt,HUOBI,2021-05-14 00:00:00,948.2533,2149.3741,948.2533,1328.996,108622153.85961209,0.0
xchusdt,HUOBI,2021-05-15 00:00:00,1328.996,1699.0,1268.0,1643.9399,101063628.59420085,0.0
xchusdt,HUOBI,2021-05-16 00:00:00,1643.9399,1650.0,1394.0,1413.0001,40964973.583660975,0.0
xchusdt,HUOBI,2021-05-17 00:00:00,1413.0001,1519.9998,1205.0,1287.0,32707328.756942727,0.0
xchusdt,HUOBI,2021-05-18 00:00:00,1287.0,1387.007,1252.0702,1276.3567,20320933.40247901,0.0
xchusdt,HUOBI,2021-05-19 00:00:00,1276.3567,1323.0708,650.0,988.0,34297901.202144265,0.0
xchusdt,HUOBI,2021-05-20 00:00:00,991.9985,1166.0,805.0,1040.3151,27587317.946385615,0.0
xchusdt,HUOBI,2021-05-21 00:00:00,1040.3228,1058.4357,780.0,802.0,19211214.621284638,0.0
xchusdt,HUOBI,2021-05-22 00:00:00,803.9873,892.0,767.1189,820.8783,16518166.941646786,0.0
xchusdt,HUOBI,2021-05-23 00:00:00,820.8783,840.0,670.0,684.2783,11377708.829004087,0.0
xchusdt,HUOBI,2021-05-24 00:00:00,684.2783,790.0,609.0932,766.0,13921075.995739829,0.0
xchusdt,HUOBI,2021-05-25 00:00:00,765.9999,944.9869,729.61,812.6597,18111345.601337153,0.0
xchusdt,HUOBI,2021-05-26 00:00:00,812.6597,869.9869,792.0,819.1485,8784206.925627321,0.0
xchusdt,HUOBI,2021-05-27 00:00:00,815.5527,846.2222,785.0,822.9424,6233278.841218289,0.0
xchusdt,HUOBI,2021-05-28 00:00:00,822.9423,830.0605,745.5388,779.9396,7038204.124021091,0.0
xchusdt,HUOBI,2021-05-29 00:00:00,779.3387,821.1299,748.0,777.8596,9085434.604426268,0.0
xchusdt,HUOBI,2021-05-30 00:00:00,773.5695,821.9072,761.0,785.0551,7740329.912987394,0.0
xchusdt,HUOBI,2021-05-31 00:00:00,785.0551,796.0,759.0,774.6259,7591610.271188658,0.0
xchusdt,HUOBI,2021-06-01 00:00:00,774.6259,778.3792,695.34,707.8766,10199094.44046876,0.0
xchusdt,HUOBI,2021-06-02 00:00:00,707.0044,731.0978,665.0,720.0,16267920.761088438,0.0
xchusdt,HUOBI,2021-06-03 00:00:00,719.999,720.6761,685.0,707.5355,9655313.048572933,0.0
xchusdt,HUOBI,2021-06-04 00:00:00,707.03,754.9689,686.3201,694.9644,13966576.150481682,0.0
