symbol,exchange,datetime,open,high,low,close,volume,open_interest
xemusdt,HUOBI,2018-01-26 00:00:00,0.681,0.999,0.681,0.8614,2007945.084435217,0.0
xemusdt,HUOBI,2018-01-27 00:00:00,0.865,0.91,0.8005,0.91,971773.1616407078,0.0
xemusdt,HUOBI,2018-01-28 00:00:00,0.905,1.1288,0.8997,0.995,3129613.675395867,0.0
xemusdt,HUOBI,2018-01-29 00:00:00,0.9999,1.0299,0.9216,0.9448,511858.01141964225,0.0
xemusdt,HUOBI,2018-01-30 00:00:00,0.9449,0.9599,0.8112,0.8242,620411.25960646,0.0
xemusdt,HUOBI,2018-01-31 00:00:00,0.8285,0.8499,0.7173,0.7753,2391472.412376773,0.0
xemusdt,HUOBI,2018-02-01 00:00:00,0.7735,0.8306,0.7024,0.7152,5072347.558855757,0.0
xemusdt,HUOBI,2018-02-02 00:00:00,0.717,0.759,0.5047,0.63,1946767.5932533299,0.0
xemusdt,HUOBI,2018-02-03 00:00:00,0.6473,0.67,0.5677,0.6455,2457710.4776414954,0.0
xemusdt,HUOBI,2018-02-04 00:00:00,0.6458,0.734,0.6052,0.6145,3090282.4717101,0.0
xemusdt,HUOBI,2018-02-05 00:00:00,0.6149,0.6486,0.5049,0.505,2468328.95779727,0.0
xemusdt,HUOBI,2018-02-06 00:00:00,0.505,1.12,0.4201,0.7999,3951362.9842102923,0.0
xemusdt,HUOBI,2018-02-07 00:00:00,0.7989,0.88,0.6002,0.8366,4768982.758527296,0.0
xemusdt,HUOBI,2018-02-08 00:00:00,0.8366,0.8398,0.5653,0.5974,6650167.808312377,0.0
xemusdt,HUOBI,2018-02-09 00:00:00,0.5972,0.5984,0.4989,0.5586,4574302.320993576,0.0
xemusdt,HUOBI,2018-02-10 00:00:00,0.559,0.62,0.5307,0.5345,4994498.576570417,0.0
xemusdt,HUOBI,2018-02-11 00:00:00,0.5347,0.5881,0.485,0.5281,2321618.6470099012,0.0
xemusdt,HUOBI,2018-02-12 00:00:00,0.5277,0.55,0.503,0.5246,1636990.4670786057,0.0
xemusdt,HUOBI,2018-02-13 00:00:00,0.5246,0.5515,0.503,0.5097,1933666.0685079761,0.0
xemusdt,HUOBI,2018-02-14 00:00:00,0.5084,0.543,0.4801,0.537,2776774.8414948457,0.0
xemusdt,HUOBI,2018-02-15 00:00:00,0.537,0.5824,0.5021,0.5141,4885001.724930003,0.0
xemusdt,HUOBI,2018-02-16 00:00:00,0.5145,0.5824,0.4705,0.5191,8664397.58391293,0.0
xemusdt,HUOBI,2018-02-17 00:00:00,0.5204,0.5888,0.4911,0.5657,7351268.778311699,0.0
xemusdt,HUOBI,2018-02-18 00:00:00,0.5656,0.578,0.495,0.5212,6012185.498233799,0.0
xemusdt,HUOBI,2018-02-19 00:00:00,0.5221,0.556,0.485,0.5194,6562468.996737249,0.0
xemusdt,HUOBI,2018-02-20 00:00:00,0.5194,0.525,0.4902,0.5003,5332123.8564378945,0.0
xemusdt,HUOBI,2018-02-21 00:00:00,0.5008,0.5018,0.4326,0.4681,3301698.3270877195,0.0
xemusdt,HUOBI,2018-02-22 00:00:00,0.4681,0.4786,0.4102,0.4258,2305076.3881275784,0.0
xemusdt,HUOBI,2018-02-23 00:00:00,0.429,0.452,0.4065,0.4421,1801844.1290810492,0.0
xemusdt,HUOBI,2018-02-24 00:00:00,0.4429,0.4457,0.406,0.4196,1411417.1772022464,0.0
xemusdt,HUOBI,2018-02-25 00:00:00,0.418,0.4238,0.3981,0.4015,1141227.37937492,0.0
xemusdt,HUOBI,2018-02-26 00:00:00,0.4009,0.4237,0.4,0.4216,1214066.9619481082,0.0
xemusdt,HUOBI,2018-02-27 00:00:00,0.4217,0.44,0.4159,0.4237,1292793.23978371,0.0
xemusdt,HUOBI,2018-02-28 00:00:00,0.424,0.439,0.42,0.4298,1401544.7413590548,0.0
xemusdt,HUOBI,2018-03-01 00:00:00,0.433,0.495,0.4225,0.4499,2271876.546793299,0.0
xemusdt,HUOBI,2018-03-02 00:00:00,0.4501,0.4987,0.4318,0.4357,1950115.305499919,0.0
xemusdt,HUOBI,2018-03-03 00:00:00,0.4359,0.4845,0.433,0.4845,1768866.6120367176,0.0
xemusdt,HUOBI,2018-03-04 00:00:00,0.4845,0.4856,0.4372,0.4562,1458335.4034293364,0.0
xemusdt,HUOBI,2018-03-05 00:00:00,0.4555,0.469,0.4206,0.4505,1725136.1785314071,0.0
xemusdt,HUOBI,2018-03-06 00:00:00,0.4501,0.4504,0.4,0.4126,1272859.8036105605,0.0
xemusdt,HUOBI,2018-03-07 00:00:00,0.4161,0.4184,0.3042,0.3222,1673662.3393699133,0.0
xemusdt,HUOBI,2018-03-08 00:00:00,0.3217,0.378,0.2733,0.3555,2909990.748719271,0.0
xemusdt,HUOBI,2018-03-09 00:00:00,0.3547,0.3808,0.315,0.3409,2063539.1146224365,0.0
xemusdt,HUOBI,2018-03-10 00:00:00,0.3402,0.3662,0.3344,0.3583,1138668.757829425,0.0
xemusdt,HUOBI,2018-03-11 00:00:00,0.3587,0.3654,0.3361,0.349,860403.66297442,0.0
xemusdt,HUOBI,2018-03-12 00:00:00,0.3491,0.4438,0.3471,0.3746,1559944.977832823,0.0
