symbol,exchange,datetime,open,high,low,close,volume,open_interest
xrpusdt,HUOBI,2017-11-24 00:00:00,0.2169,0.3,0.2169,0.2382,2110975.658324696,0.0
xrpusdt,HUOBI,2017-11-25 00:00:00,0.2382,0.2549,0.236,0.2519,1346761.5931317806,0.0
xrpusdt,HUOBI,2017-11-26 00:00:00,0.2518,0.2551,0.2426,0.2457,784285.9244048619,0.0
xrpusdt,HUOBI,2017-11-27 00:00:00,0.2457,0.2498,0.2415,0.2477,1248810.0982910001,0.0
xrpusdt,HUOBI,2017-11-28 00:00:00,0.2478,0.274,0.2451,0.2653,2458870.723217818,0.0
xrpusdt,HUOBI,2017-11-29 00:00:00,0.2654,0.2819,0.253,0.2627,2708300.8197709364,0.0
xrpusdt,HUOBI,2017-11-30 00:00:00,0.2624,0.2643,0.217,0.2239,1307526.45321957,0.0
xrpusdt,HUOBI,2017-12-01 00:00:00,0.223,0.2494,0.2219,0.2438,929710.1157716889,0.0
xrpusdt,HUOBI,2017-12-02 00:00:00,0.244,0.2544,0.24,0.2409,1007877.4130048561,0.0
xrpusdt,HUOBI,2017-12-03 00:00:00,0.2409,0.2563,0.2392,0.2523,739954.5942141699,0.0
xrpusdt,HUOBI,2017-12-04 00:00:00,0.2525,0.2567,0.2366,0.2429,876120.0481995086,0.0
xrpusdt,HUOBI,2017-12-05 00:00:00,0.2417,0.25,0.2365,0.2394,1000360.3817108886,0.0
xrpusdt,HUOBI,2017-12-06 00:00:00,0.2394,0.2403,0.2241,0.2299,4295153.878563996,0.0
xrpusdt,HUOBI,2017-12-07 00:00:00,0.2299,0.2344,0.2047,0.2074,1356950.1578894411,0.0
xrpusdt,HUOBI,2017-12-08 00:00:00,0.2072,0.26,0.202,0.2294,3471373.0549969478,0.0
xrpusdt,HUOBI,2017-12-09 00:00:00,0.2293,0.248,0.2288,0.2396,2027373.5735887648,0.0
xrpusdt,HUOBI,2017-12-10 00:00:00,0.2395,0.243,0.221,0.2305,1401982.0978227877,0.0
xrpusdt,HUOBI,2017-12-11 00:00:00,0.2307,0.2444,0.226,0.2419,1196240.318481837,0.0
xrpusdt,HUOBI,2017-12-12 00:00:00,0.2419,0.2733,0.235,0.2731,3855951.070847331,0.0
xrpusdt,HUOBI,2017-12-13 00:00:00,0.2734,0.48,0.2666,0.437,21870554.599959355,0.0
xrpusdt,HUOBI,2017-12-14 00:00:00,0.4363,0.7288,0.4012,0.655,39228375.465525635,0.0
xrpusdt,HUOBI,2017-12-15 00:00:00,0.655,0.8798,0.5926,0.787,66325360.569663145,0.0
xrpusdt,HUOBI,2017-12-16 00:00:00,0.787,0.8115,0.715,0.7357,20797623.575615216,0.0
xrpusdt,HUOBI,2017-12-17 00:00:00,0.7358,0.7719,0.7005,0.7218,14280004.581194082,0.0
xrpusdt,HUOBI,2017-12-18 00:00:00,0.7218,0.76,0.6433,0.7137,22989944.463850863,0.0
xrpusdt,HUOBI,2017-12-19 00:00:00,0.7158,0.8308,0.7058,0.7512,28840875.963648476,0.0
xrpusdt,HUOBI,2017-12-20 00:00:00,0.7512,0.7699,0.658,0.709,23255383.815050576,0.0
xrpusdt,HUOBI,2017-12-21 00:00:00,0.7086,1.118,0.675,0.9251,69418585.68979807,0.0
xrpusdt,HUOBI,2017-12-22 00:00:00,0.9259,1.2855,0.678,0.94,133117190.30119327,0.0
xrpusdt,HUOBI,2017-12-23 00:00:00,0.9355,1.1148,0.85,0.9988,48131605.921362,0.0
xrpusdt,HUOBI,2017-12-24 00:00:00,0.9988,1.131,0.8,0.901,38137689.270778105,0.0
xrpusdt,HUOBI,2017-12-25 00:00:00,0.9048,0.9995,0.8924,0.962,22365711.746861376,0.0
xrpusdt,HUOBI,2017-12-26 00:00:00,0.9634,1.0239,0.945,0.9884,22402478.823219966,0.0
xrpusdt,HUOBI,2017-12-27 00:00:00,0.9885,1.186,0.9723,1.142,53231095.73320797,0.0
xrpusdt,HUOBI,2017-12-28 00:00:00,1.1429,1.275,1.0264,1.2402,66569459.15147466,0.0
xrpusdt,HUOBI,2017-12-29 00:00:00,1.2402,1.7,1.2322,1.5923,83132464.88743745,0.0
xrpusdt,HUOBI,2017-12-30 00:00:00,1.59,2.695,1.5753,2.15,202263383.0895662,0.0
xrpusdt,HUOBI,2017-12-31 00:00:00,2.15,2.1694,1.58,1.9151,89126045.34078848,0.0
xrpusdt,HUOBI,2018-01-01 00:00:00,1.9151,2.01,1.78,1.8968,50705740.98013543,0.0
xrpusdt,HUOBI,2018-01-02 00:00:00,1.8943,2.1899,1.8586,2.0998,52287666.38620624,0.0
xrpusdt,HUOBI,2018-01-03 00:00:00,2.0881,2.6498,2.02,2.5788,61646783.65321373,0.0
