symbol,exchange,datetime,open,high,low,close,volume,open_interest
xrtusdt,HUOBI,2020-09-03 00:00:00,35.4544,58.1419,35.0,36.7365,6512369.331817567,0.0
xrtusdt,HUOBI,2020-09-04 00:00:00,36.4684,41.85,23.205,26.1847,1448485.3354450306,0.0
xrtusdt,HUOBI,2020-09-05 00:00:00,27.2783,29.2303,15.2555,20.8223,853598.9210389681,0.0
xrtusdt,HUOBI,2020-09-06 00:00:00,20.707,26.5,15.0,21.255,1052880.0465341522,0.0
xrtusdt,HUOBI,2020-09-07 00:00:00,21.49,22.2485,17.0,19.9187,432541.93109290174,0.0
xrtusdt,HUOBI,2020-09-08 00:00:00,19.9015,22.0285,18.3247,19.0758,322183.2514893155,0.0
xrtusdt,HUOBI,2020-09-09 00:00:00,19.0959,26.0,17.868,22.2001,348423.52274387004,0.0
xrtusdt,HUOBI,2020-09-10 00:00:00,22.2001,24.7796,21.0,22.0159,294596.40363118146,0.0
xrtusdt,HUOBI,2020-09-11 00:00:00,21.8137,22.9948,19.116,20.3009,147908.99298111,0.0
xrtusdt,HUOBI,2020-09-12 00:00:00,20.1949,21.5002,18.51,20.8553,187126.04078002,0.0
xrtusdt,HUOBI,2020-09-13 00:00:00,20.7625,27.8,19.7,21.7001,974747.2624729692,0.0
xrtusdt,HUOBI,2020-09-14 00:00:00,21.6923,21.7876,19.6088,20.7265,488477.1572107571,0.0
xrtusdt,HUOBI,2020-09-15 00:00:00,20.7767,21.3333,18.5201,18.58,247156.89955187455,0.0
xrtusdt,HUOBI,2020-09-16 00:00:00,18.5202,18.6161,16.0001,16.53,151865.86361886,0.0
xrtusdt,HUOBI,2020-09-17 00:00:00,16.7268,17.2994,14.4928,16.2713,182270.24178287,0.0
xrtusdt,HUOBI,2020-09-18 00:00:00,16.2741,17.2998,14.0,15.5077,159422.74697283728,0.0
xrtusdt,HUOBI,2020-09-19 00:00:00,15.5056,15.5118,14.0,14.7854,130105.94884272,0.0
xrtusdt,HUOBI,2020-09-20 00:00:00,14.7878,14.8717,12.0123,12.0126,185833.80266887284,0.0
xrtusdt,HUOBI,2020-09-21 00:00:00,12.0123,16.4999,9.0023,10.0369,666299.5287769126,0.0
xrtusdt,HUOBI,2020-09-22 00:00:00,9.99,10.9183,9.0,9.7337,110427.6089111,0.0
xrtusdt,HUOBI,2020-09-23 00:00:00,9.678,19.8765,9.3253,14.2889,1988974.307173112,0.0
xrtusdt,HUOBI,2020-09-24 00:00:00,14.2877,14.2877,10.1102,10.8878,483304.5702205332,0.0
xrtusdt,HUOBI,2020-09-25 00:00:00,10.888,12.4929,10.5476,11.6751,243389.01437752813,0.0
xrtusdt,HUOBI,2020-09-26 00:00:00,11.6262,14.5127,11.316,14.0014,421578.54474683263,0.0
xrtusdt,HUOBI,2020-09-27 00:00:00,14.0028,18.0,14.0,15.6109,1347193.2900815846,0.0
xrtusdt,HUOBI,2020-09-28 00:00:00,15.6106,17.88,14.1333,14.606,790116.9062579719,0.0
xrtusdt,HUOBI,2020-09-29 00:00:00,14.6207,16.2067,14.0051,15.5002,543675.1423868395,0.0
xrtusdt,HUOBI,2020-09-30 00:00:00,15.5002,15.5002,14.05,14.3398,303010.69655172067,0.0
xrtusdt,HUOBI,2020-10-01 00:00:00,14.3437,14.75,13.2987,13.4781,248111.16960867,0.0
xrtusdt,HUOBI,2020-10-02 00:00:00,13.4781,13.52,10.2324,11.2943,316843.92816993326,0.0
xrtusdt,HUOBI,2020-10-03 00:00:00,11.2866,11.7456,10.5,11.1966,160407.60322742,0.0
xrtusdt,HUOBI,2020-10-04 00:00:00,11.1965,13.3426,11.0213,11.3909,391691.53574171854,0.0
xrtusdt,HUOBI,2020-10-05 00:00:00,11.3909,11.7652,10.6153,10.9178,226416.60295814,0.0
xrtusdt,HUOBI,2020-10-06 00:00:00,10.9318,12.042,9.1,9.4432,395544.35418318,0.0
xrtusdt,HUOBI,2020-10-07 00:00:00,9.4644,9.4999,7.77,8.5975,171731.69166977,0.0
xrtusdt,HUOBI,2020-10-08 00:00:00,8.6,9.652,8.6,9.3327,225851.08951789435,0.0
xrtusdt,HUOBI,2020-10-09 00:00:00,9.3343,9.6997,8.6521,9.65,258652.61979123,0.0
xrtusdt,HUOBI,2020-10-10 00:00:00,9.6198,11.0126,9.5401,10.3884,439726.73064252,0.0
xrtusdt,HUOBI,2020-10-11 00:00:00,10.3928,11.2345,9.7713,10.2464,326750.72783673,0.0
xrtusdt,HUOBI,2020-10-12 00:00:00,10.246,10.2465,8.9085,9.4519,281276.13160301,0.0
xrtusdt,HUOBI,2020-10-13 00:00:00,9.4568,9.4681,8.77,8.7873,212288.53327331698,0.0
xrtusdt,HUOBI,2020-10-14 00:00:00,8.7915,9.0527,8.4001,8.5798,122469.82036264,0.0
xrtusdt,HUOBI,2020-10-15 00:00:00,8.5817,8.5998,8.0,8.0948,137111.83512102,0.0
xrtusdt,HUOBI,2020-10-16 00:00:00,8.0957,8.1421,6.6516,7.1174,211009.44362788,0.0
xrtusdt,HUOBI,2020-10-17 00:00:00,7.1148,7.7441,6.8,7.5119,112658.97368946,0.0
xrtusdt,HUOBI,2020-10-18 00:00:00,7.5117,9.1111,7.1397,8.0699,235603.99176109422,0.0
xrtusdt,HUOBI,2020-10-19 00:00:00,8.057,8.1291,7.3002,7.5019,142896.72149782,0.0
xrtusdt,HUOBI,2020-10-20 00:00:00,7.5335,7.5639,6.6,6.7268,143536.22538502,0.0
xrtusdt,HUOBI,2020-10-21 00:00:00,6.7001,7.2003,6.32,6.8129,157388.7212346,0.0
xrtusdt,HUOBI,2020-10-22 00:00:00,6.8025,7.4685,6.5555,7.0478,200583.96616825,0.0
xrtusdt,HUOBI,2020-10-23 00:00:00,7.0549,7.3,6.8001,6.8419,129001.28645658,0.0
xrtusdt,HUOBI,2020-10-24 00:00:00,6.8416,7.6914,6.5555,7.3821,169017.84703014,0.0
xrtusdt,HUOBI,2020-10-25 00:00:00,7.379,7.4524,6.91,7.0365,152174.27841406,0.0
xrtusdt,HUOBI,2020-10-26 00:00:00,7.0357,7.3901,6.2002,6.5247,237786.70105391,0.0
xrtusdt,HUOBI,2020-10-27 00:00:00,6.5456,6.9054,6.1649,6.6651,195315.91060502,0.0
xrtusdt,HUOBI,2020-10-28 00:00:00,6.6651,6.9,5.9188,6.2515,169772.47091548,0.0
xrtusdt,HUOBI,2020-10-29 00:00:00,6.27,6.278,5.5,5.8429,144551.39233769,0.0
xrtusdt,HUOBI,2020-10-30 00:00:00,5.8395,5.8897,4.5,5.0234,249137.41325526,0.0
xrtusdt,HUOBI,2020-10-31 00:00:00,5.023,5.5499,4.8058,4.831,230328.90008862,0.0
xrtusdt,HUOBI,2020-11-01 00:00:00,4.8284,4.9189,4.51,4.5958,124138.78789624,0.0
xrtusdt,HUOBI,2020-11-02 00:00:00,4.5762,5.3399,4.3183,4.6737,223750.46436038,0.0
xrtusdt,HUOBI,2020-11-03 00:00:00,4.708,4.7337,4.0318,4.1939,149478.65962363,0.0
xrtusdt,HUOBI,2020-11-04 00:00:00,4.1924,4.457,3.8,4.2185,122403.81813715,0.0
xrtusdt,HUOBI,2020-11-05 00:00:00,4.2186,4.5281,3.9918,4.2595,98283.17091238,0.0
xrtusdt,HUOBI,2020-11-06 00:00:00,4.2526,4.5538,3.9422,4.465,189212.56947336,0.0
xrtusdt,HUOBI,2020-11-07 00:00:00,4.4651,10.4998,4.4642,7.301,4374817.513046562,0.0
xrtusdt,HUOBI,2020-11-08 00:00:00,7.3797,13.8001,7.3797,12.6992,6530666.832037077,0.0
xrtusdt,HUOBI,2020-11-09 00:00:00,12.7,13.6,9.5,10.5024,1959928.9593666918,0.0
xrtusdt,HUOBI,2020-11-10 00:00:00,10.9981,11.06,8.4,8.8319,1150730.523209701,0.0
xrtusdt,HUOBI,2020-11-11 00:00:00,8.83,8.8519,7.33,7.7769,788449.7641579062,0.0
xrtusdt,HUOBI,2020-11-12 00:00:00,7.7769,7.9889,6.6666,6.9064,645275.94163147,0.0
xrtusdt,HUOBI,2020-11-13 00:00:00,6.9069,8.3,6.818,7.99,1462442.7032596783,0.0
xrtusdt,HUOBI,2020-11-14 00:00:00,7.9998,9.5,7.1632,8.2,1619553.419819837,0.0
xrtusdt,HUOBI,2020-11-15 00:00:00,8.2412,8.2412,7.4597,7.7747,581146.00970193,0.0
xrtusdt,HUOBI,2020-11-16 00:00:00,7.7793,7.8,7.0515,7.6455,375443.49461179,0.0
xrtusdt,HUOBI,2020-11-17 00:00:00,7.6235,7.647,7.0992,7.3586,323254.16884131,0.0
xrtusdt,HUOBI,2020-11-18 00:00:00,7.3586,7.3586,6.68,6.8358,315380.17947551,0.0
xrtusdt,HUOBI,2020-11-19 00:00:00,6.8654,7.2282,6.0,6.9964,381563.1491346367,0.0
xrtusdt,HUOBI,2020-11-20 00:00:00,6.9964,8.45,6.9964,7.8877,1498815.3993332766,0.0
xrtusdt,HUOBI,2020-11-21 00:00:00,7.8781,8.37,7.4001,7.859,731629.9798084381,0.0
xrtusdt,HUOBI,2020-11-22 00:00:00,7.8591,9.258,7.8591,8.5,1128566.9799160329,0.0
