symbol,exchange,datetime,open,high,low,close,volume,open_interest
xtzusdt,HUOBI,2019-08-08 00:00:00,1.2108,1.6,1.2108,1.4058,553243.2305381512,0.0
xtzusdt,HUOBI,2019-08-09 00:00:00,1.3571,1.62,1.3553,1.4,673981.9696010683,0.0
xtzusdt,HUOBI,2019-08-10 00:00:00,1.4,1.4748,1.3567,1.4086,129258.02981265,0.0
xtzusdt,HUOBI,2019-08-11 00:00:00,1.3571,1.4264,1.3571,1.4141,63857.99539512,0.0
xtzusdt,HUOBI,2019-08-12 00:00:00,1.3933,1.414,1.3601,1.3601,19474.2077286,0.0
xtzusdt,HUOBI,2019-08-13 00:00:00,1.3835,1.3837,1.2881,1.303,54118.42055752,0.0
xtzusdt,HUOBI,2019-08-14 00:00:00,1.2941,1.3254,1.2092,1.2114,19441.00665673,0.0
xtzusdt,HUOBI,2019-08-15 00:00:00,1.2153,1.2153,1.0342,1.1356,55405.20639779,0.0
xtzusdt,HUOBI,2019-08-16 00:00:00,1.1425,1.3336,1.0844,1.2331,102213.69079132,0.0
xtzusdt,HUOBI,2019-08-17 00:00:00,1.2331,1.25,1.1669,1.1951,33792.55615427,0.0
xtzusdt,HUOBI,2019-08-18 00:00:00,1.1998,1.231,1.1747,1.2188,54035.86921762,0.0
xtzusdt,HUOBI,2019-08-19 00:00:00,1.2188,1.2498,1.1888,1.2053,26822.10667632,0.0
xtzusdt,HUOBI,2019-08-20 00:00:00,1.2064,1.2343,1.1455,1.1634,28987.3064634,0.0
xtzusdt,HUOBI,2019-08-21 00:00:00,1.1613,1.1805,1.1003,1.1205,60406.18517761,0.0
xtzusdt,HUOBI,2019-08-22 00:00:00,1.1149,1.1812,1.088,1.1518,60683.87364464,0.0
xtzusdt,HUOBI,2019-08-23 00:00:00,1.1554,1.2016,1.1227,1.1766,30067.67321719,0.0
xtzusdt,HUOBI,2019-08-24 00:00:00,1.1767,1.1999,1.1136,1.1214,35402.50241006,0.0
xtzusdt,HUOBI,2019-08-25 00:00:00,1.1236,1.1626,1.1145,1.1582,28545.11459922,0.0
xtzusdt,HUOBI,2019-08-26 00:00:00,1.1568,1.1893,1.1144,1.1477,18325.10759249,0.0
xtzusdt,HUOBI,2019-08-27 00:00:00,1.1477,1.1784,1.1221,1.1312,52853.71714824,0.0
xtzusdt,HUOBI,2019-08-28 00:00:00,1.1306,1.134,1.1101,1.122,61413.65343139,0.0
xtzusdt,HUOBI,2019-08-29 00:00:00,1.123,1.13,0.986,1.0068,51150.63495142,0.0
xtzusdt,HUOBI,2019-08-30 00:00:00,1.0032,1.0613,0.9892,1.0263,91093.28683653,0.0
