symbol,exchange,datetime,open,high,low,close,volume,open_interest
yfiiusdt,HUOBI,2020-08-23 00:00:00,716.316,1599.0,716.316,1291.0105,6087581.728178248,0.0
yfiiusdt,HUOBI,2020-08-24 00:00:00,1309.9976,1392.001,1062.0,1130.0,3004515.432682505,0.0
yfiiusdt,HUOBI,2020-08-25 00:00:00,1130.0,1130.0,885.0,966.0069,4056463.9083238738,0.0
yfiiusdt,HUOBI,2020-08-26 00:00:00,970.0999,1130.1244,835.0,950.0,3159742.213963343,0.0
yfiiusdt,HUOBI,2020-08-27 00:00:00,920.0002,1120.0,920.0,996.6586,3275521.5936735747,0.0
yfiiusdt,HUOBI,2020-08-28 00:00:00,997.0286,1181.3365,905.0,1120.0268,4839519.518553934,0.0
yfiiusdt,HUOBI,2020-08-29 00:00:00,1125.2708,2953.8461,1117.0001,2830.5362,36571878.79359266,0.0
yfiiusdt,HUOBI,2020-08-30 00:00:00,2833.6958,5969.0,2704.0,4900.0,158809661.90605778,0.0
yfiiusdt,HUOBI,2020-08-31 00:00:00,4916.0007,5199.9999,3750.0,4549.9965,48740174.51017884,0.0
yfiiusdt,HUOBI,2020-09-01 00:00:00,4540.0,7400.0,3171.0,7081.0,141464062.8917839,0.0
yfiiusdt,HUOBI,2020-09-02 00:00:00,7081.0,9489.0,6217.1355,6916.5018,100075319.58904332,0.0
yfiiusdt,HUOBI,2020-09-03 00:00:00,6916.4989,7936.0,5638.7096,6217.22,40582696.493459366,0.0
yfiiusdt,HUOBI,2020-09-04 00:00:00,6217.2224,6488.6927,3893.676,4157.9999,30568181.45339306,0.0
yfiiusdt,HUOBI,2020-09-05 00:00:00,4157.9997,5583.3749,3400.0,4055.0,40774761.48464066,0.0
yfiiusdt,HUOBI,2020-09-06 00:00:00,4055.0,4252.7071,2800.0,3606.3604,35849169.99255374,0.0
yfiiusdt,HUOBI,2020-09-07 00:00:00,3600.7366,4085.9994,3118.8841,3464.9336,18733184.74688681,0.0
yfiiusdt,HUOBI,2020-09-08 00:00:00,3447.8076,3747.9999,3171.688,3340.5237,11099668.556754664,0.0
yfiiusdt,HUOBI,2020-09-09 00:00:00,3347.6497,3745.8482,2855.8972,3620.3708,19352300.298944812,0.0
yfiiusdt,HUOBI,2020-09-10 00:00:00,3621.9562,4233.0,3426.0001,3900.2298,29535719.970744867,0.0
yfiiusdt,HUOBI,2020-09-11 00:00:00,3908.2145,4199.0,3550.0,4106.8384,19677799.336009655,0.0
yfiiusdt,HUOBI,2020-09-12 00:00:00,4100.0001,6749.9999,3976.786,6191.9387,72315663.19881777,0.0
yfiiusdt,HUOBI,2020-09-13 00:00:00,6194.2646,6938.0,4900.0,5114.8308,55081564.95061786,0.0
yfiiusdt,HUOBI,2020-09-14 00:00:00,5109.0001,6500.0,4902.0,6150.7268,49856128.76280789,0.0
yfiiusdt,HUOBI,2020-09-15 00:00:00,6164.2836,6279.0,5382.2,5665.8392,32675644.906629093,0.0
yfiiusdt,HUOBI,2020-09-16 00:00:00,5665.8397,5800.0,4279.532,4775.5103,33047063.42093181,0.0
yfiiusdt,HUOBI,2020-09-17 00:00:00,4775.5103,5188.0,4242.22,4305.5555,23546379.45315775,0.0
yfiiusdt,HUOBI,2020-09-18 00:00:00,4300.0001,4656.8056,4075.0,4297.1373,19868197.34245791,0.0
yfiiusdt,HUOBI,2020-09-19 00:00:00,4303.8863,4330.1892,3773.3668,3854.3042,15591585.0258417,0.0
yfiiusdt,HUOBI,2020-09-20 00:00:00,3849.6205,4284.6265,3723.2793,3751.8523,15645688.884071955,0.0
yfiiusdt,HUOBI,2020-09-21 00:00:00,3750.0006,3801.0,2870.0,3023.9702,16679249.980265647,0.0
yfiiusdt,HUOBI,2020-09-22 00:00:00,3017.9438,3379.8888,2955.0,3123.1126,12087373.528809717,0.0
yfiiusdt,HUOBI,2020-09-23 00:00:00,3126.6354,3323.0,2914.0,3112.315,10118072.062881067,0.0
