symbol,exchange,datetime,open,high,low,close,volume,open_interest
zilusdt,HUOBI,2018-02-08 00:00:00,0.0443,0.0688,0.0443,0.0569,1589054.672007534,0.0
zilusdt,HUOBI,2018-02-09 00:00:00,0.0571,0.061,0.0533,0.0581,4272573.221245848,0.0
zilusdt,HUOBI,2018-02-10 00:00:00,0.0581,0.061,0.0504,0.051,3804399.1496072453,0.0
zilusdt,HUOBI,2018-02-11 00:00:00,0.051,0.0536,0.0468,0.0507,2405603.4081384544,0.0
zilusdt,HUOBI,2018-02-12 00:00:00,0.0507,0.054,0.0492,0.052,1843178.4051984518,0.0
zilusdt,HUOBI,2018-02-13 00:00:00,0.052,0.0541,0.0495,0.0496,1618065.09817379,0.0
zilusdt,HUOBI,2018-02-14 00:00:00,0.0496,0.0553,0.0495,0.0553,1956083.235870445,0.0
zilusdt,HUOBI,2018-02-15 00:00:00,0.0553,0.0599,0.0522,0.0564,2291692.078700782,0.0
zilusdt,HUOBI,2018-02-16 00:00:00,0.0565,0.06,0.0556,0.0587,2074652.0767817134,0.0
zilusdt,HUOBI,2018-02-17 00:00:00,0.0587,0.0685,0.0584,0.0677,2282555.457870367,0.0
zilusdt,HUOBI,2018-02-18 00:00:00,0.0677,0.0725,0.0601,0.0673,3396880.778928364,0.0
zilusdt,HUOBI,2018-02-19 00:00:00,0.0673,0.0686,0.0625,0.0667,2165190.95982843,0.0
zilusdt,HUOBI,2018-02-20 00:00:00,0.0668,0.0699,0.0631,0.0641,2474340.456157186,0.0
zilusdt,HUOBI,2018-02-21 00:00:00,0.0643,0.0665,0.0548,0.056,2708249.332922612,0.0
zilusdt,HUOBI,2018-02-22 00:00:00,0.056,0.0583,0.0505,0.0521,2194694.1690020342,0.0
zilusdt,HUOBI,2018-02-23 00:00:00,0.0521,0.058,0.0495,0.0541,2113789.05868636,0.0
zilusdt,HUOBI,2018-02-24 00:00:00,0.0541,0.056,0.0513,0.0521,1819743.293023279,0.0
zilusdt,HUOBI,2018-02-25 00:00:00,0.0521,0.0532,0.0488,0.0503,1613293.7200670224,0.0
zilusdt,HUOBI,2018-02-26 00:00:00,0.0503,0.055,0.0494,0.0533,1329206.63600823,0.0
zilusdt,HUOBI,2018-02-27 00:00:00,0.0531,0.0554,0.0517,0.0525,1824243.8008120297,0.0
zilusdt,HUOBI,2018-02-28 00:00:00,0.0525,0.0535,0.0494,0.0499,2121785.1942491443,0.0
zilusdt,HUOBI,2018-03-01 00:00:00,0.0499,0.0508,0.048,0.0491,1865172.23136237,0.0
zilusdt,HUOBI,2018-03-02 00:00:00,0.0492,0.0504,0.0465,0.0474,2113543.74283822,0.0
zilusdt,HUOBI,2018-03-03 00:00:00,0.0474,0.0481,0.044,0.0446,1900649.5746771,0.0
zilusdt,HUOBI,2018-03-04 00:00:00,0.0448,0.0517,0.0446,0.0492,3056190.588472865,0.0
zilusdt,HUOBI,2018-03-05 00:00:00,0.0492,0.0872,0.046,0.0588,11808770.803804636,0.0
zilusdt,HUOBI,2018-03-06 00:00:00,0.0589,0.0638,0.0478,0.0488,6715913.432278894,0.0
zilusdt,HUOBI,2018-03-07 00:00:00,0.0488,0.049,0.042,0.0435,2674051.942696716,0.0
zilusdt,HUOBI,2018-03-08 00:00:00,0.0435,0.0438,0.037,0.0401,3525380.029742928,0.0
zilusdt,HUOBI,2018-03-09 00:00:00,0.0399,0.0422,0.0308,0.0378,2873814.731957906,0.0
zilusdt,HUOBI,2018-03-10 00:00:00,0.0377,0.0494,0.0361,0.0457,3539287.686531978,0.0
zilusdt,HUOBI,2018-03-11 00:00:00,0.0457,0.053398,0.0403,0.0486,4474213.892595156,0.0
zilusdt,HUOBI,2018-03-12 00:00:00,0.0486,0.0555,0.045,0.0462,3257467.2052475316,0.0
zilusdt,HUOBI,2018-03-13 00:00:00,0.046003,0.049338,0.0438,0.043855,3340276.017388108,0.0
zilusdt,HUOBI,2018-03-14 00:00:00,0.0438,0.049788,0.043,0.044247,2639636.3008497627,0.0
zilusdt,HUOBI,2018-03-15 00:00:00,0.044245,0.0445,0.038001,0.040494,3477291.1260078778,0.0
zilusdt,HUOBI,2018-03-16 00:00:00,0.040494,0.046528,0.039,0.045277,3305121.215677236,0.0
zilusdt,HUOBI,2018-03-17 00:00:00,0.045277,0.046352,0.04,0.041167,3274314.1517853756,0.0
zilusdt,HUOBI,2018-03-18 00:00:00,0.041189,0.042129,0.0343,0.034617,3209070.33838674,0.0
zilusdt,HUOBI,2018-03-19 00:00:00,0.03481,0.05,0.0342,0.047184,4045115.086984958,0.0
zilusdt,HUOBI,2018-03-20 00:00:00,0.047184,0.049,0.043001,0.045324,3258270.485881226,0.0
zilusdt,HUOBI,2018-03-21 00:00:00,0.045324,0.052,0.045026,0.049969,3772422.7864710083,0.0
zilusdt,HUOBI,2018-03-22 00:00:00,0.0499,0.050235,0.044444,0.045768,3328513.8336107447,0.0
zilusdt,HUOBI,2018-03-23 00:00:00,0.045964,0.048077,0.042691,0.045859,3363341.1183919604,0.0
zilusdt,HUOBI,2018-03-24 00:00:00,0.045847,0.056869,0.045521,0.055229,4871820.11618927,0.0
zilusdt,HUOBI,2018-03-25 00:00:00,0.055229,0.05641,0.051325,0.052394,3735295.0851782034,0.0
zilusdt,HUOBI,2018-03-26 00:00:00,0.05231,0.053641,0.044958,0.04609,4110862.988480147,0.0
zilusdt,HUOBI,2018-03-27 00:00:00,0.046105,0.050106,0.0441,0.04763,3414117.659244935,0.0
zilusdt,HUOBI,2018-03-28 00:00:00,0.04763,0.05049,0.045522,0.048645,3427586.625012518,0.0
zilusdt,HUOBI,2018-03-29 00:00:00,0.048679,0.05,0.043696,0.045052,3765835.8841765313,0.0
zilusdt,HUOBI,2018-03-30 00:00:00,0.04504,0.046998,0.040583,0.0434,3575338.148763957,0.0
zilusdt,HUOBI,2018-03-31 00:00:00,0.0434,0.049889,0.042101,0.047165,3848656.4474296262,0.0
zilusdt,HUOBI,2018-04-01 00:00:00,0.047211,0.049056,0.041097,0.04111,3445748.762176024,0.0
zilusdt,HUOBI,2018-04-02 00:00:00,0.04111,0.045823,0.041101,0.044868,3137545.4839366926,0.0
zilusdt,HUOBI,2018-04-03 00:00:00,0.044869,0.0465,0.04352,0.045061,3131065.4600543357,0.0
zilusdt,HUOBI,2018-04-04 00:00:00,0.04504,0.046495,0.04101,0.041011,3273612.1818834874,0.0
zilusdt,HUOBI,2018-04-05 00:00:00,0.041013,0.044051,0.0385,0.040635,3359137.940417752,0.0
zilusdt,HUOBI,2018-04-06 00:00:00,0.040672,0.040886,0.037659,0.03795,2940579.305844432,0.0
zilusdt,HUOBI,2018-04-07 00:00:00,0.03795,0.04179,0.03717,0.041425,3240193.439170056,0.0
zilusdt,HUOBI,2018-04-08 00:00:00,0.04141,0.043779,0.040008,0.042656,3311418.024675394,0.0
zilusdt,HUOBI,2018-04-09 00:00:00,0.042656,0.042809,0.03875,0.03953,3369952.7933467207,0.0
