symbol,exchange,datetime,open,high,low,close,volume,open_interest
zrxusdt,HUOBI,2018-12-26 00:00:00,0.2645,0.341,0.2645,0.3241,351315.444532515,0.0
zrxusdt,HUOBI,2018-12-27 00:00:00,0.3233,0.3544,0.29,0.3346,398279.27243327,0.0
zrxusdt,HUOBI,2018-12-28 00:00:00,0.3359,0.3377,0.302,0.3308,105614.243516,0.0
zrxusdt,HUOBI,2018-12-29 00:00:00,0.333,0.3428,0.3203,0.3246,81325.856829,0.0
zrxusdt,HUOBI,2018-12-30 00:00:00,0.3255,0.3358,0.3096,0.3168,40433.108121,0.0
zrxusdt,HUOBI,2018-12-31 00:00:00,0.3163,0.328,0.3051,0.3061,10126.537425,0.0
zrxusdt,HUOBI,2019-01-01 00:00:00,0.3074,0.3129,0.2883,0.2984,21594.221884,0.0
zrxusdt,HUOBI,2019-01-02 00:00:00,0.2983,0.3271,0.298,0.3196,32953.113149,0.0
zrxusdt,HUOBI,2019-01-03 00:00:00,0.3195,0.3262,0.3171,0.3223,35536.718354,0.0
zrxusdt,HUOBI,2019-01-04 00:00:00,0.322,0.3236,0.309,0.3125,17937.343903,0.0
zrxusdt,HUOBI,2019-01-05 00:00:00,0.3108,0.3237,0.3108,0.317,22713.727503,0.0
zrxusdt,HUOBI,2019-01-06 00:00:00,0.3166,0.3275,0.3155,0.3216,22202.567742,0.0
zrxusdt,HUOBI,2019-01-07 00:00:00,0.3227,0.343,0.3218,0.3233,28543.91555445,0.0
zrxusdt,HUOBI,2019-01-08 00:00:00,0.3227,0.3399,0.3157,0.3276,35743.236331,0.0
zrxusdt,HUOBI,2019-01-09 00:00:00,0.3269,0.3284,0.3173,0.3193,24622.00849,0.0
zrxusdt,HUOBI,2019-01-10 00:00:00,0.3193,0.3248,0.2866,0.2915,53015.075421,0.0
zrxusdt,HUOBI,2019-01-11 00:00:00,0.2893,0.3008,0.272,0.2802,36185.966272,0.0
zrxusdt,HUOBI,2019-01-12 00:00:00,0.2804,0.3038,0.2767,0.2778,16823.675825,0.0
zrxusdt,HUOBI,2019-01-13 00:00:00,0.2778,0.2905,0.2763,0.2854,25694.85070921914,0.0
zrxusdt,HUOBI,2019-01-14 00:00:00,0.2803,0.2897,0.26,0.2828,40077.440715,0.0
zrxusdt,HUOBI,2019-01-15 00:00:00,0.2854,0.2991,0.2784,0.282,25263.695393,0.0
zrxusdt,HUOBI,2019-01-16 00:00:00,0.2822,0.3188,0.2737,0.2947,132937.664868,0.0
zrxusdt,HUOBI,2019-01-17 00:00:00,0.2942,0.3069,0.2873,0.3017,159448.38701525,0.0
zrxusdt,HUOBI,2019-01-18 00:00:00,0.3017,0.3044,0.2913,0.2943,61287.692463,0.0
zrxusdt,HUOBI,2019-01-19 00:00:00,0.2939,0.3014,0.2871,0.2999,77525.581468,0.0
zrxusdt,HUOBI,2019-01-20 00:00:00,0.3001,0.3014,0.2813,0.2827,38111.160834,0.0
zrxusdt,HUOBI,2019-01-21 00:00:00,0.2828,0.2926,0.2786,0.282,27913.438384,0.0
zrxusdt,HUOBI,2019-01-22 00:00:00,0.2815,0.2903,0.2727,0.2861,24324.00017114,0.0
zrxusdt,HUOBI,2019-01-23 00:00:00,0.2867,0.3003,0.2841,0.2975,41581.401252,0.0
zrxusdt,HUOBI,2019-01-24 00:00:00,0.2982,0.3191,0.2834,0.3077,208284.62196042,0.0
zrxusdt,HUOBI,2019-01-25 00:00:00,0.3075,0.3092,0.2809,0.291,80111.28673265,0.0
zrxusdt,HUOBI,2019-01-26 00:00:00,0.2916,0.2923,0.2837,0.2854,55041.292804,0.0
zrxusdt,HUOBI,2019-01-27 00:00:00,0.2857,0.2906,0.2658,0.2733,82760.008353,0.0
zrxusdt,HUOBI,2019-01-28 00:00:00,0.2733,0.2776,0.247,0.2504,46592.09801517,0.0
zrxusdt,HUOBI,2019-01-29 00:00:00,0.251,0.2614,0.2465,0.255,26275.07957358,0.0
zrxusdt,HUOBI,2019-01-30 00:00:00,0.2554,0.2619,0.2471,0.2595,17788.082557,0.0
zrxusdt,HUOBI,2019-01-31 00:00:00,0.2606,0.261,0.2485,0.2504,9331.232906,0.0
zrxusdt,HUOBI,2019-02-01 00:00:00,0.2505,0.2555,0.2451,0.25,11785.690972,0.0
zrxusdt,HUOBI,2019-02-02 00:00:00,0.25,0.2567,0.2441,0.2462,17293.929798,0.0
zrxusdt,HUOBI,2019-02-03 00:00:00,0.246,0.2522,0.2449,0.2451,9730.575209,0.0
zrxusdt,HUOBI,2019-02-04 00:00:00,0.2455,0.2493,0.2378,0.2423,15309.19148443,0.0
zrxusdt,HUOBI,2019-02-05 00:00:00,0.2421,0.2427,0.2309,0.2333,25605.90199,0.0
zrxusdt,HUOBI,2019-02-06 00:00:00,0.2333,0.2361,0.217,0.2189,36715.671687,0.0
